O*NET-SOC Code,Title,Consequence of Error,Freedom to Make Decisions,Frequency of Decision Making,Health and Safety of Other Workers,Impact of Decisions on Co-workers or Company Results,Work Outcomes and Results of Other Workers,"Determine Tasks, Priorities and Goals",Developing Objectives and Strategies Combined,Making Decisions and Solving Problems Combined,Judgment and Decision Making Combined
29-1129.02,Music Therapists,2.12,4.58,3.27,2.65,3.27,2.0,4.38,2.9059428571428567,2.9440000000000004,2.4732142857142856
29-1131.00,Veterinarians,4.09,4.76,4.78,4.2,4.55,4.09,4.29,1.7369285714285714,4.450771428571429,2.6950857142857143
29-1141.00,Registered Nurses,3.94,4.1,4.06,4.19,4.29,3.94,4.01,2.1881714285714287,3.801657142857143,2.5428571428571427
29-1141.01,Acute Care Nurses,4.5,4.05,4.24,4.05,4.1,3.52,4.19,1.93,3.6138571428571424,2.662857142857143
29-1141.02,Advanced Practice Psychiatric Nurses,3.52,4.65,3.7,3.57,4.17,2.7,4.05,2.725314285714286,3.993,2.7142857142857144
29-1141.03,Critical Care Nurses,4.85,3.88,4.62,3.86,4.33,3.39,4.0,2.036914285714285,3.817857142857143,2.645714285714285
29-1141.04,Clinical Nurse Specialists,3.86,4.48,4.05,3.81,4.25,4.14,4.33,2.7207142857142856,3.605028571428572,2.821428571428571
29-1151.00,Nurse Anesthetists,4.77,4.7,4.19,4.48,4.44,3.5,4.44,2.534885714285714,4.173657142857143,2.765714285714286
29-1161.00,Nurse Midwives,4.69,4.67,4.75,4.0,4.52,3.38,4.12,2.3838285714285714,3.939571428571429,2.524285714285714
29-1171.00,Nurse Practitioners,4.39,4.7,4.57,3.91,4.35,3.52,4.3,2.1448857142857145,4.1876,2.765714285714286
29-1181.00,Audiologists,2.59,4.59,4.45,3.43,4.14,3.05,4.18,2.355542857142857,3.7795,2.571428571428571
29-1211.00,Anesthesiologists,4.53,4.73,4.71,4.22,4.73,3.85,4.45,2.198242857142857,4.439800000000001,2.894285714285714
29-1213.00,Dermatologists,4.19,4.99,4.48,4.64,4.3,4.2,4.76,2.3158857142857143,3.765085714285714,2.571428571428571
29-1214.00,Emergency Medicine Physicians,4.93,4.93,4.6,4.28,4.73,3.9,4.2,1.8609142857142855,4.548228571428572,3.005714285714286
29-1215.00,Family Medicine Physicians,4.97,4.98,5.0,3.71,4.99,4.23,4.47,1.9919714285714285,3.5029285714285714,3.0357142857142856
29-1216.00,General Internal Medicine Physicians,4.32,4.84,4.39,4.04,4.18,3.58,4.42,2.066628571428572,3.901457142857143,2.821428571428571
29-1217.00,Neurologists,4.56,4.92,4.78,3.97,4.86,4.04,4.85,2.9717714285714285,4.610285714285714,2.928571428571429
29-1218.00,Obstetricians and Gynecologists,3.85,4.82,4.65,3.86,4.8,4.46,4.73,2.554,4.365714285714285,2.821428571428571
29-1221.00,"Pediatricians, General",3.64,4.85,4.67,3.84,4.65,4.11,4.57,1.9597714285714285,4.072571428571429,3.0335714285714284
29-1222.00,"Physicians, Pathologists",4.42,4.61,4.61,2.69,4.76,3.32,4.36,2.0619428571428573,3.837828571428571,2.954285714285714
29-1223.00,Psychiatrists,3.9,4.87,4.42,3.0,4.17,3.24,4.4,2.4015142857142857,4.199885714285715,2.894285714285714
29-1224.00,Radiologists,3.85,4.49,4.57,3.6,4.33,3.82,4.32,2.308114285714286,4.029400000000001,2.894285714285714
29-1229.01,Allergists and Immunologists,4.2,4.75,4.42,3.91,4.36,4.08,4.44,2.766728571428572,4.1428,3.005714285714286
29-1229.02,Hospitalists,4.46,4.58,4.88,3.96,4.75,3.92,4.16,2.330285714285714,4.387428571428572,2.9522285714285714
29-1229.03,Urologists,3.87,4.99,4.36,4.84,4.34,4.76,4.98,3.1918,4.626785714285714,2.9732142857142856
29-1229.04,Physical Medicine and Rehabilitation Physicians,4.24,4.91,4.51,3.87,4.8,4.17,4.84,2.6947,4.054385714285714,2.748571428571428
29-1229.05,Preventive Medicine Physicians,3.61,4.63,4.39,4.21,4.32,3.94,4.21,3.0436428571428573,3.9547428571428567,3.321428571428572
29-1229.06,Sports Medicine Physicians,4.7,5.0,4.99,3.0,4.83,4.36,4.74,2.3176,4.696,2.9522285714285714
29-1241.00,"Ophthalmologists, Except Pediatric",4.91,5.0,4.99,3.67,4.94,4.13,4.55,3.284957142857144,4.225771428571429,2.7142857142857144
29-1291.00,Acupuncturists,3.29,4.79,3.86,3.61,3.55,2.18,4.7,2.0974,3.2190000000000003,2.25
29-1292.00,Dental Hygienists,3.34,3.98,4.35,3.1,4.33,2.2,4.1,2.367857142857143,2.938928571428572,1.8571428571428568
29-1299.01,Naturopathic Physicians,3.67,4.68,4.44,3.48,4.24,2.8,4.48,2.352457142857143,4.0201142857142855,2.821428571428571
29-1299.02,Orthoptists,2.7,4.14,4.04,2.93,3.75,3.04,4.0,1.7369285714285714,3.2798285714285718,2.3192
29-2011.00,Medical and Clinical Laboratory Technologists,3.98,4.29,4.4,3.59,4.12,3.45,4.04,1.9742857142857144,4.115885714285714,1.9842857142857144
29-2011.01,Cytogenetic Technologists,4.24,3.67,4.76,3.52,4.52,2.89,3.48,1.5797714285714286,2.697142857142857,2.1607142857142856
29-2011.02,Cytotechnologists,4.18,4.43,3.86,3.05,4.0,2.59,3.55,1.3674857142857144,2.489928571428571,1.9449142857142856
29-2011.04,Histotechnologists,4.14,3.71,3.81,3.71,3.29,3.14,3.57,1.5916571428571429,2.585642857142857,2.02
29-2012.00,Medical and Clinical Laboratory Technicians,3.76,3.88,3.43,3.38,3.56,2.71,3.9,1.914642857142857,3.5288571428571425,1.8571428571428568
29-2012.01,Histology Technicians,4.32,3.64,3.32,3.96,3.2,3.04,3.33,1.4224,2.7197714285714287,1.8328571428571427
29-2031.00,Cardiovascular Technologists and Technicians,3.77,3.9,4.32,3.58,4.28,3.29,4.07,1.699285714285714,2.5162000000000004,2.044642857142857
29-2032.00,Diagnostic Medical Sonographers,3.5,4.18,4.28,3.2,4.04,2.7,3.79,1.637714285714286,2.7846714285714285,1.9449142857142856
29-2033.00,Nuclear Medicine Technologists,4.41,4.45,4.47,3.56,4.24,3.29,4.3,1.5638285714285716,2.5008,1.9257142857142855
29-2034.00,Radiologic Technologists and Technicians,3.4,4.01,4.78,4.0,4.32,3.3,3.87,1.3857,2.1907,1.7485714285714289
29-2035.00,Magnetic Resonance Imaging Technologists,4.0,4.3,3.61,4.65,3.65,3.43,4.04,1.8652,2.9806857142857144,1.8571428571428568
29-2036.00,Medical Dosimetrists,4.5,3.9,4.05,3.15,4.15,3.15,4.2,2.3091428571428567,3.632142857142856,2.4035714285714285
29-2051.00,Dietetic Technicians,3.0,4.15,3.8,4.54,3.59,4.15,4.19,1.882442857142857,2.1565714285714286,1.9085714285714288
29-2052.00,Pharmacy Technicians,4.01,3.28,3.86,3.4,3.99,3.39,3.51,1.5646857142857142,2.259657142857143,1.9085714285714288
29-2053.00,Psychiatric Technicians,2.77,3.76,3.48,3.54,2.38,3.06,3.83,1.2595714285714286,2.1993714285714288,1.8571428571428568
29-2055.00,Surgical Technologists,4.26,3.78,4.66,4.35,4.51,3.98,4.1,1.8451,2.8375285714285714,1.8571428571428568
29-2056.00,Veterinary Technologists and Technicians,3.84,3.6,4.1,3.88,4.13,3.27,3.85,1.524857142857143,2.744142857142857,1.9449142857142856
29-2057.00,Ophthalmic Medical Technicians,3.14,3.91,4.45,3.68,4.09,3.09,3.59,1.3455714285714286,2.1410714285714283,1.7734857142857143
29-2061.00,Licensed Practical and Licensed Vocational Nurses,3.42,3.77,4.33,4.24,4.21,3.85,3.94,2.0904,3.267428571428572,2.216428571428572
29-2081.00,"Opticians, Dispensing",2.21,4.42,4.42,3.29,3.96,3.17,3.96,1.9464714285714284,3.3280857142857143,1.822857142857143
29-2091.00,Orthotists and Prosthetists,2.81,4.52,4.62,4.0,3.9,3.76,4.19,2.101,3.649771428571429,2.1635714285714283
29-2092.00,Hearing Aid Specialists,2.37,4.54,4.69,3.03,4.31,3.34,4.26,1.7386857142857142,3.008642857142857,1.9449142857142856
29-2099.01,Neurodiagnostic Technologists,3.81,4.17,4.28,3.26,4.0,2.84,3.81,1.9211142857142856,3.0991428571428568,1.9842857142857144
29-2099.05,Ophthalmic Medical Technologists,3.25,3.9,4.15,3.3,3.95,2.95,3.55,1.1760714285714289,2.628571428571429,1.8914285714285717
29-2099.08,Patient Representatives,2.18,4.31,3.32,2.78,3.49,3.21,3.49,1.8162571428571428,2.9824,2.044642857142857
29-9091.00,Athletic Trainers,3.89,4.43,4.69,4.42,4.29,3.56,4.05,2.317171428571428,3.612357142857143,2.5428571428571427
29-9092.00,Genetic Counselors,3.26,4.04,4.04,2.36,3.74,2.45,3.96,1.6526714285714283,3.101571428571429,2.2857142857142856
29-9093.00,Surgical Assistants,4.26,3.51,3.59,3.99,3.49,3.95,4.12,2.008,3.655,1.9449142857142856
29-9099.01,Midwives,4.13,4.54,4.21,3.23,4.55,3.34,4.13,2.532457142857143,3.710442857142857,2.571428571428571
31-1121.00,Home Health Aides,3.68,3.47,3.71,3.56,3.96,3.29,3.62,1.5667428571428572,2.3464,1.8571428571428568
31-1122.00,Personal Care Aides,3.74,3.16,4.07,3.76,4.07,2.82,3.12,2.532442857142857,2.915542857142857,1.7036571428571428
31-1131.00,Nursing Assistants,3.4,3.11,3.68,4.38,3.73,3.89,3.64,1.5943571428571428,2.4035714285714285,1.6714285714285717
31-1132.00,Orderlies,3.85,4.07,4.42,4.51,4.15,3.1,3.81,1.2514285714285711,1.8427857142857145,1.3749142857142858
31-1133.00,Psychiatric Aides,3.79,3.65,3.46,3.85,3.63,3.35,3.75,2.0034,2.890242857142857,1.9085714285714288
31-2011.00,Occupational Therapy Assistants,2.72,4.55,4.68,4.49,4.3,3.93,4.64,2.3820571428571427,2.755428571428572,1.9085714285714288
31-2012.00,Occupational Therapy Aides,3.2,3.77,3.83,4.39,3.98,3.44,3.62,1.9615428571428573,2.574285714285714,1.822857142857143
31-2021.00,Physical Therapist Assistants,3.85,3.91,4.9,3.01,4.61,2.46,4.46,2.104557142857143,2.975142857142857,1.9085714285714288
31-2022.00,Physical Therapist Aides,2.97,3.85,3.68,4.13,3.77,3.09,3.48,1.852,2.6792285714285717,1.5300000000000002
31-9011.00,Massage Therapists,2.62,4.54,4.32,2.81,3.73,1.65,4.58,1.8685714285714283,2.662171428571429,1.872228571428572
31-9091.00,Dental Assistants,3.0,3.52,3.73,4.47,3.34,3.32,3.44,2.0830857142857147,2.8896571428571427,1.7036571428571428
31-9092.00,Medical Assistants,4.0,3.22,3.85,3.63,3.5,3.09,3.68,2.836,3.4693714285714283,1.8571428571428568
31-9093.00,Medical Equipment Preparers,3.76,4.03,4.1,4.21,4.09,4.05,3.81,1.7225714285714284,3.503885714285714,1.7857142857142856
31-9094.00,Medical Transcriptionists,2.61,3.76,3.78,3.92,3.53,3.6,4.25,1.2185714285714286,2.0914,1.7485714285714289
31-9095.00,Pharmacy Aides,3.74,3.68,3.43,3.47,3.17,3.12,3.94,1.9,2.967314285714286,1.6428571428571428
31-9096.00,Veterinary Assistants and Laboratory Animal Caretakers,3.75,3.46,4.18,3.03,3.97,3.31,3.51,1.4862,2.629714285714285,1.7385714285714284
31-9097.00,Phlebotomists,4.48,3.82,4.14,4.36,4.0,3.86,3.73,1.8971428571428568,3.1594857142857142,1.7036571428571428
31-9099.01,Speech-Language Pathology Assistants,2.45,3.28,3.72,3.6,3.52,1.68,4.1,2.215242857142857,2.748571428571429,1.9449142857142856
31-9099.02,Endoscopy Technicians,3.92,3.65,4.12,4.19,3.54,3.33,3.46,1.798,2.697142857142857,1.822857142857143
33-1011.00,First-Line Supervisors of Correctional Officers,3.25,4.13,4.68,4.77,4.43,4.47,3.91,2.1711714285714288,3.4432,1.9842857142857144
33-1012.00,First-Line Supervisors of Police and Detectives,3.85,4.43,4.46,4.26,4.61,4.21,4.08,2.668,3.629057142857143,2.524285714285714
33-1021.00,First-Line Supervisors of Firefighting and Prevention Workers,4.44,4.49,4.32,4.8,4.63,4.62,4.34,3.1784285714285714,4.099442857142858,2.265085714285714
33-1091.00,First-Line Supervisors of Security Workers,3.21,4.63,4.71,4.62,4.73,4.82,4.63,1.927,3.8364285714285713,2.283657142857143
33-2011.00,Firefighters,4.19,3.94,4.13,4.47,4.27,3.96,3.88,2.208571428571429,3.3370285714285712,2.265085714285714
33-2021.00,Fire Inspectors and Investigators,3.11,4.54,4.4,3.66,4.44,3.46,4.68,2.1946,3.112,1.9085714285714288
33-2022.00,Forest Fire Inspectors and Prevention Specialists,3.79,4.56,4.32,4.5,4.87,4.11,4.15,2.8708857142857145,3.079,2.216428571428572
33-3011.00,Bailiffs,2.97,3.76,3.78,3.45,3.27,2.44,3.3,1.8731428571428568,3.4577142857142857,1.9642857142857144
33-3012.00,Correctional Officers and Jailers,3.79,4.22,4.29,4.34,4.25,3.8,4.01,2.2432,3.1600000000000006,1.9642857142857144
33-3021.00,Detectives and Criminal Investigators,4.3,4.54,4.61,4.01,4.65,3.48,4.41,2.381114285714286,3.5897142857142854,2.4732142857142856
33-3021.02,Police Identification and Records Officers,2.96,4.49,3.76,3.07,3.65,3.01,4.22,2.2052428571428573,3.352228571428572,1.8571428571428568
33-3021.06,Intelligence Analysts,2.57,4.3,3.09,2.35,3.04,2.91,4.3,2.0986857142857143,2.902857142857143,2.1357142857142857
33-3031.00,Fish and Game Wardens,4.26,4.76,4.08,4.23,4.42,3.18,4.57,2.5302285714285717,3.865228571428571,2.1607142857142856
33-3041.00,Parking Enforcement Workers,2.6,3.74,4.87,2.95,3.84,2.19,3.47,1.8613,2.417742857142857,1.604285714285714
33-3051.00,Police and Sheriff's Patrol Officers,3.62,4.5,4.66,4.46,4.52,3.28,4.02,2.294842857142857,3.9039428571428574,2.354914285714286
33-3051.04,Customs and Border Protection Officers,4.22,4.2,4.64,3.51,4.54,3.05,3.91,2.0241,3.5548571428571427,2.31
33-3052.00,Transit and Railroad Police,3.7,4.41,4.43,4.57,3.99,3.6,4.17,2.2605142857142857,3.0989571428571434,2.0028571428571427
33-9011.00,Animal Control Workers,3.96,4.54,4.58,3.69,4.31,2.8,4.27,2.1974285714285715,3.779371428571429,1.822857142857143
33-9021.00,Private Detectives and Investigators,2.83,4.61,3.98,2.3,4.13,3.18,4.39,2.3027285714285712,3.0569285714285708,2.1492
33-9031.00,Gambling Surveillance Officers and Gambling Investigators,3.63,4.39,4.44,3.4,4.44,3.41,3.97,1.9737142857142855,2.9872,2.0608
33-9032.00,Security Guards,3.2,4.44,3.68,4.95,3.44,3.48,4.37,2.8038,3.0787857142857145,1.7142857142857144
33-9091.00,Crossing Guards and Flaggers,4.09,4.25,4.22,2.91,3.67,2.06,3.74,1.4587428571428571,1.757285714285714,1.625
33-9092.00,"Lifeguards, Ski Patrol, and Other Recreational Protective Service Workers",4.06,3.82,4.11,4.24,4.08,3.35,3.67,1.3927,2.5552,1.8571428571428568
33-9093.00,Transportation Security Screeners,3.85,3.0,3.81,3.3,3.63,2.89,2.63,1.4649142857142856,2.5004285714285714,1.872228571428572
33-9099.02,Retail Loss Prevention Specialists,3.5,4.51,4.09,3.9,4.16,3.05,3.87,2.2118857142857147,3.413271428571429,2.02
35-1011.00,Chefs and Head Cooks,2.96,3.67,4.61,4.04,4.12,3.91,3.62,1.9085714285714288,2.5593142857142857,2.1677714285714287
35-1012.00,First-Line Supervisors of Food Preparation and Serving Workers,2.93,3.74,3.27,3.85,2.81,3.7,3.66,1.9762857142857144,2.6058142857142856,1.8571428571428568
35-2011.00,"Cooks, Fast Food",3.9,3.09,3.49,3.27,3.75,3.15,2.19,1.342,1.6117428571428571,1.4179428571428572
35-2012.00,"Cooks, Institution and Cafeteria",3.25,3.65,3.78,4.01,3.34,3.78,3.86,1.5472285714285714,2.0020571428571428,1.872228571428572
35-2013.00,"Cooks, Private Household",2.46,4.04,3.38,3.23,3.58,2.77,3.88,1.6325714285714286,2.018357142857143,1.8571428571428568
35-2014.00,"Cooks, Restaurant",2.59,3.78,4.01,3.87,3.96,3.67,3.81,1.0864571428571428,1.4378,1.5508
35-2015.00,"Cooks, Short Order",1.86,4.11,3.43,3.13,3.17,3.31,3.27,1.1946285714285714,1.6963,1.4628571428571429
35-2021.00,Food Preparation Workers,3.11,2.93,3.17,3.36,3.01,2.74,2.74,1.154114285714286,1.9614,1.394285714285714
35-3011.00,Bartenders,1.42,4.03,3.65,2.78,3.28,2.11,3.46,1.5051428571428571,1.91,1.7734857142857143
35-3023.00,Fast Food and Counter Workers,2.51,4.39,3.58,3.42,3.02,3.41,4.22,1.3545142857142858,1.6346714285714286,1.3706285714285715
35-3023.01,Baristas,1.6,4.05,3.39,2.75,3.21,2.56,3.42,1.4693142857142858,1.8485714285714288,1.4435714285714285
35-3031.00,Waiters and Waitresses,1.72,3.4,3.39,3.9,3.05,3.08,3.45,1.2157857142857142,1.492642857142857,1.5
35-3041.00,"Food Servers, Nonrestaurant",2.64,3.78,3.91,3.99,3.65,3.64,3.89,1.3328,2.0197000000000003,1.5300000000000002
35-9011.00,Dining Room and Cafeteria Attendants and Bartender Helpers,1.88,3.12,3.28,3.41,3.6,2.79,3.14,1.6968,1.8468,1.5693714285714286
35-9021.00,Dishwashers,1.81,2.69,2.34,4.08,2.31,2.49,3.38,1.2409142857142856,1.6794428571428572,1.3571428571428572
35-9031.00,"Hosts and Hostesses, Restaurant, Lounge, and Coffee Shop",2.05,4.16,4.19,3.03,3.48,2.8,3.73,1.2480714285714285,1.6285714285714286,1.32
37-1011.00,First-Line Supervisors of Housekeeping and Janitorial Workers,2.87,3.63,3.75,4.33,3.78,4.52,3.76,2.0754857142857146,3.0925857142857143,1.822857142857143
37-1012.00,"First-Line Supervisors of Landscaping, Lawn Service, and Groundskeeping Workers",3.53,4.11,4.44,4.49,4.13,4.43,4.33,2.1295,3.026542857142857,1.9642857142857144
37-2011.00,"Janitors and Cleaners, Except Maids and Housekeeping Cleaners",2.38,4.43,3.03,3.9,2.72,2.9,4.52,2.104171428571428,2.492114285714286,1.4179428571428572
37-2012.00,Maids and Housekeeping Cleaners,1.76,3.21,2.67,3.17,2.52,2.6,3.34,1.2812142857142856,1.5189714285714286,1.3392000000000002
37-2021.00,Pest Control Workers,3.27,4.48,4.38,2.84,4.19,2.15,4.35,1.7524,2.664428571428571,1.872228571428572
37-3011.00,Landscaping and Groundskeeping Workers,2.91,2.53,2.72,3.31,3.17,3.16,3.17,1.3980428571428571,2.188628571428572,1.4821428571428572
37-3012.00,"Pesticide Handlers, Sprayers, and Applicators, Vegetation",3.82,4.28,4.53,3.3,4.37,3.12,3.79,1.87,2.628342857142857,1.822857142857143
37-3013.00,Tree Trimmers and Pruners,3.79,4.39,4.49,3.96,4.32,3.95,4.37,1.8777142857142857,2.9122714285714286,1.625
39-1013.00,First-Line Supervisors of Gambling Services Workers,3.38,3.69,4.24,3.59,4.34,4.29,3.64,1.3656285714285714,2.0451428571428574,1.9085714285714288
39-1022.00,First-Line Supervisors of Personal Service Workers,3.67,4.57,4.51,4.52,4.66,4.92,4.81,1.9934571428571428,3.045828571428571,1.9642857142857144
39-2011.00,Animal Trainers,2.75,4.78,3.72,3.6,4.0,3.31,4.51,2.1913,3.266885714285714,1.872228571428572
39-2021.00,Animal Caretakers,3.32,3.64,4.19,3.2,3.86,2.98,3.79,1.6507,2.374357142857143,1.605714285714286
39-3011.00,Gambling Dealers,2.53,2.38,4.25,2.57,3.63,2.32,2.56,1.0663714285714283,1.3620714285714286,1.51
39-3012.00,Gambling and Sports Book Writers and Runners,2.1,3.06,3.3,2.98,3.53,2.69,3.23,1.1967857142857143,1.9786857142857144,1.5785714285714287
39-3021.00,Motion Picture Projectionists,2.5,3.98,3.68,2.36,3.42,2.71,3.55,1.096,1.876342857142857,1.604285714285714
39-3031.00,"Ushers, Lobby Attendants, and Ticket Takers",1.72,3.68,3.28,1.84,3.08,1.96,2.67,1.1908,1.6776,1.4179428571428572
39-3091.00,Amusement and Recreation Attendants,2.12,3.47,3.2,2.87,3.31,2.51,3.11,1.4394,1.9338857142857144,1.4906285714285716
39-3092.00,Costume Attendants,2.18,4.2,3.53,2.87,3.33,3.68,4.14,1.4577,2.4879999999999995,1.4691999999999998
39-3093.00,"Locker Room, Coatroom, and Dressing Room Attendants",1.69,3.87,3.31,3.31,2.88,2.98,3.63,1.0473142857142856,1.538385714285714,1.4017857142857142
39-4011.00,Embalmers,4.06,4.49,4.68,3.74,4.66,3.73,4.31,1.8288,3.2722857142857142,1.8571428571428568
39-4021.00,Funeral Attendants,2.55,3.6,3.52,2.0,3.26,2.11,3.16,1.1400142857142856,2.0751285714285714,1.4691999999999998
39-4031.00,"Morticians, Undertakers, and Funeral Arrangers",3.28,4.24,4.4,3.74,4.65,3.8,4.27,1.7707428571428572,3.196642857142857,1.9085714285714288
39-5011.00,Barbers,2.44,4.79,2.92,3.33,4.36,2.53,4.24,1.5861142857142858,2.3349857142857147,1.605714285714286
39-5012.00,"Hairdressers, Hairstylists, and Cosmetologists",2.26,4.76,3.86,3.52,3.72,2.94,4.7,1.5539285714285715,2.630157142857142,1.8035714285714288
39-5091.00,"Makeup Artists, Theatrical and Performance",2.43,4.15,3.19,4.48,3.3,3.19,4.15,1.8007142857142855,2.920857142857143,1.9642857142857144
39-5092.00,Manicurists and Pedicurists,1.69,3.9,2.03,3.55,1.96,2.91,3.46,1.1482,1.2725,1.4179428571428572
39-5093.00,Shampooers,1.82,3.62,4.11,2.98,4.36,2.8,3.42,1.339557142857143,1.757285714285714,1.4542857142857144
39-5094.00,Skincare Specialists,2.49,4.34,4.68,3.26,4.05,2.65,3.97,1.7153714285714288,2.317085714285714,1.7734857142857143
39-6011.00,Baggage Porters and Bellhops,3.01,4.33,3.9,3.72,3.51,3.28,3.83,1.5660571428571428,2.4208,1.5625
39-6012.00,Concierges,1.95,4.41,3.23,3.05,3.27,3.18,4.5,1.7231714285714286,2.8777142857142857,1.8571428571428568
39-7011.00,Tour Guides and Escorts,1.9,4.06,3.64,2.54,3.25,2.38,3.91,1.3361142857142856,1.9538285714285717,1.5300000000000002
39-7012.00,Travel Guides,2.49,4.77,4.61,4.01,4.2,4.06,4.88,2.0260714285714285,2.9158,1.9085714285714288
39-9011.00,Childcare Workers,2.69,4.03,3.32,3.95,3.33,3.48,4.07,1.8354285714285716,2.246142857142857,1.8571428571428568
39-9011.01,Nannies,3.44,4.48,3.48,3.2,3.64,2.71,4.28,1.4011428571428572,2.5808,2.1228571428571428
39-9031.00,Exercise Trainers and Group Fitness Instructors,2.48,4.62,3.76,3.57,3.75,2.33,4.33,2.2648,2.3474142857142857,1.8571428571428568
39-9032.00,Recreation Workers,3.4,4.1,3.65,3.59,3.57,2.85,4.34,2.356114285714286,2.880742857142857,1.8571428571428568
39-9041.00,Residential Advisors,3.48,3.85,3.55,4.18,3.67,3.78,4.09,2.0296857142857143,2.71,1.9449142857142856
41-1011.00,First-Line Supervisors of Retail Sales Workers,1.67,4.3,4.22,3.79,3.95,3.71,4.15,1.5684285714285713,2.6784714285714286,1.9085714285714288
41-1012.00,First-Line Supervisors of Non-Retail Sales Workers,2.24,4.05,4.54,3.55,4.61,4.44,4.19,2.875342857142857,3.557028571428572,2.596342857142857
41-2011.00,Cashiers,1.93,3.45,4.06,2.68,3.09,2.82,3.2,1.1136714285714286,1.6425,1.4285714285714286
41-2012.00,Gambling Change Persons and Booth Cashiers,2.55,3.11,4.23,2.58,4.23,2.63,3.26,1.326857142857143,2.5542857142857143,1.5300000000000002
41-2021.00,Counter and Rental Clerks,1.93,3.94,4.04,2.64,3.36,3.33,3.61,1.6216,2.345428571428572,1.604285714285714
41-2022.00,Parts Salespersons,2.54,4.55,3.99,3.33,4.12,4.16,4.13,1.9623142857142857,2.9010857142857147,1.822857142857143
41-2031.00,Retail Salespersons,2.36,3.43,4.15,2.7,4.03,2.85,4.08,1.624,2.1972571428571426,1.7385714285714284
41-3011.00,Advertising Sales Agents,2.0,4.55,4.33,1.51,4.19,2.4,4.66,2.162,2.8286714285714285,2.044642857142857
41-3021.00,Insurance Sales Agents,2.98,3.88,4.81,1.82,4.43,2.14,4.11,2.125057142857143,2.3846285714285718,1.9285714285714288
41-3031.00,"Securities, Commodities, and Financial Services Sales Agents",3.33,4.33,4.3,2.1,4.3,3.01,4.43,2.054857142857143,2.9448,2.31
41-3041.00,Travel Agents,3.38,4.03,3.74,2.55,3.88,3.41,4.32,1.4894714285714288,2.4674,2.02
41-4011.00,"Sales Representatives, Wholesale and Manufacturing, Technical and Scientific Products",2.5,4.27,4.69,2.69,4.04,2.91,4.7,1.7593714285714286,2.011257142857143,2.023657142857143
41-4011.07,Solar Sales Representatives and Assessors,2.77,4.02,3.79,2.1,3.97,2.78,4.54,2.1139,2.677785714285714,1.9085714285714288
41-4012.00,"Sales Representatives, Wholesale and Manufacturing, Except Technical and Scientific Products",1.88,4.51,4.72,2.29,4.32,3.22,4.61,1.6384,3.1921428571428576,1.9085714285714288
41-9011.00,Demonstrators and Product Promoters,2.19,4.04,3.77,2.78,3.69,2.4,3.62,1.5585428571428572,2.2609142857142857,1.7485714285714289
41-9012.00,Models,2.22,3.73,2.94,1.2,2.95,1.95,2.67,1.075,1.2291142857142856,1.3008
41-9021.00,Real Estate Brokers,3.15,4.89,4.59,2.23,4.39,3.16,4.84,1.916542857142857,2.5478571428571426,2.36
41-9022.00,Real Estate Sales Agents,3.4,4.57,4.35,2.14,4.43,2.89,4.71,2.378,3.325857142857142,2.205357142857143
41-9031.00,Sales Engineers,2.66,4.46,4.56,2.69,4.48,3.56,4.42,2.2246428571428574,2.893214285714286,2.7142857142857144
41-9041.00,Telemarketers,1.88,3.53,3.25,2.2,3.2,2.44,3.43,2.5046285714285714,2.9414285714285717,1.4179428571428572
41-9091.00,"Door-to-Door Sales Workers, News and Street Vendors, and Related Workers",1.46,4.79,2.92,1.67,2.58,2.21,4.75,1.6828571428571428,1.5525,1.822857142857143
43-1011.00,First-Line Supervisors of Office and Administrative Support Workers,2.92,4.03,3.96,2.61,3.97,4.36,4.41,2.186871428571429,2.9305857142857143,2.225714285714286
43-2011.00,"Switchboard Operators, Including Answering Service",2.03,3.71,4.49,2.72,3.48,2.55,3.55,1.0492142857142857,1.7437142857142858,1.4906285714285716
43-2021.00,Telephone Operators,2.32,3.72,4.18,3.27,3.74,3.12,3.69,1.5765142857142858,1.7106,1.335714285714286
43-3011.00,Bill and Account Collectors,3.1,3.24,4.27,2.25,4.16,2.61,3.37,1.5234142857142858,2.165057142857143,1.7385714285714284
43-3021.00,Billing and Posting Clerks,1.93,4.09,3.61,1.81,3.37,2.3,4.18,1.3035428571428571,2.1642714285714284,1.7385714285714284
43-3031.00,"Bookkeeping, Accounting, and Auditing Clerks",2.44,3.75,3.92,2.05,3.68,2.97,3.8,1.6167857142857145,2.3817142857142857,1.7200000000000002
43-3041.00,Gambling Cage Workers,3.98,3.26,3.98,3.01,3.86,3.05,3.0,1.3537857142857144,2.3914714285714287,1.6391999999999998
43-3051.00,Payroll and Timekeeping Clerks,2.25,3.49,3.86,1.81,3.88,2.23,3.64,1.4375,2.3362,1.7734857142857143
43-3061.00,Procurement Clerks,2.08,4.35,4.46,2.47,3.98,2.61,4.36,1.8307,2.319742857142857,2.1142857142857143
43-3071.00,Tellers,3.2,3.67,4.33,3.56,4.15,3.2,3.77,1.6748714285714286,2.4892000000000003,1.7734857142857143
43-4011.00,Brokerage Clerks,3.16,3.88,3.89,1.41,3.87,2.69,4.11,1.3426428571428572,2.1839285714285714,1.822857142857143
43-4021.00,Correspondence Clerks,2.39,4.16,3.94,2.61,4.0,3.15,4.59,1.5654,2.330028571428572,1.9642857142857144
