O*NET-SOC Code,Title,Importance of Repeating Same Tasks,Pace Determined by Speed of Equipment,Degree of Automation,Spend Time Making Repetitive Motions,Importance of Being Exact or Accurate,Time Pressure,Level of Competition
43-4031.00,"Court, Municipal, and License Clerks",4.24,1.43,2.57,3.53,4.36,4.08,2.05
43-4041.00,"Credit Authorizers, Checkers, and Clerks",4.33,1.33,2.97,3.88,4.7,4.67,3.24
43-4051.00,Customer Service Representatives,4.45,1.4,2.26,4.2,4.53,4.55,2.91
43-4061.00,"Eligibility Interviewers, Government Programs",4.36,1.16,1.96,3.54,4.64,4.28,2.26
43-4071.00,File Clerks,4.06,1.83,2.02,3.06,4.16,4.15,1.9
43-4081.00,"Hotel, Motel, and Resort Desk Clerks",3.88,1.45,2.64,3.79,4.14,3.2,2.63
43-4111.00,"Interviewers, Except Eligibility and Loan",4.63,1.93,2.63,3.91,4.67,4.2,3.08
43-4121.00,"Library Assistants, Clerical",3.7,1.49,2.26,3.52,4.17,3.38,2.44
43-4131.00,Loan Interviewers and Clerks,4.31,1.51,2.96,3.15,4.7,4.53,3.99
43-4141.00,New Accounts Clerks,4.43,1.1,3.05,3.58,4.67,3.97,3.02
43-4151.00,Order Clerks,3.47,1.61,2.48,3.14,4.11,4.16,2.54
43-4161.00,"Human Resources Assistants, Except Payroll and Timekeeping",4.36,1.13,2.55,3.46,4.72,4.27,2.91
43-4171.00,Receptionists and Information Clerks,3.74,1.47,2.32,3.79,3.72,2.71,1.51
43-4181.00,Reservation and Transportation Ticket Agents and Travel Clerks,4.92,2.62,3.61,3.52,4.68,4.49,2.24
43-5011.00,Cargo and Freight Agents,2.89,1.72,1.84,2.78,3.67,3.96,3.28
43-5011.01,Freight Forwarders,4.27,2.25,2.22,2.4,4.33,4.95,3.65
43-5021.00,Couriers and Messengers,3.48,1.44,2.37,3.7,4.14,4.71,2.98
43-5031.00,Public Safety Telecommunicators,4.87,1.79,2.13,4.38,4.82,4.22,2.41
43-5032.00,"Dispatchers, Except Police, Fire, and Ambulance",4.5,2.0,2.43,3.83,4.58,4.48,3.01
43-5041.00,"Meter Readers, Utilities",3.9,3.12,2.63,4.09,4.33,3.97,2.42
43-5051.00,Postal Service Clerks,3.96,1.77,2.57,3.97,4.28,3.67,2.17
43-5052.00,Postal Service Mail Carriers,4.26,1.13,2.42,4.64,4.5,4.12,2.24
43-5053.00,"Postal Service Mail Sorters, Processors, and Processing Machine Operators",3.66,3.93,3.73,4.54,4.04,4.69,2.57
43-5061.00,"Production, Planning, and Expediting Clerks",3.48,3.39,1.91,3.19,4.46,4.55,2.42
43-5071.00,"Shipping, Receiving, and Inventory Clerks",4.37,3.08,2.74,2.7,4.44,4.57,3.03
43-5111.00,"Weighers, Measurers, Checkers, and Samplers, Recordkeeping",4.17,3.8,2.34,3.41,4.52,4.26,2.09
43-6011.00,Executive Secretaries and Executive Administrative Assistants,3.83,1.13,2.06,3.28,4.5,3.86,2.41
43-6012.00,Legal Secretaries and Administrative Assistants,4.19,1.53,1.94,3.06,4.43,4.01,1.92
43-6013.00,Medical Secretaries and Administrative Assistants,4.6,1.39,2.11,3.04,4.53,3.95,2.35
43-6014.00,"Secretaries and Administrative Assistants, Except Legal, Medical, and Executive",4.3,1.19,1.79,3.03,4.22,4.09,2.31
43-9021.00,Data Entry Keyers,4.81,1.85,2.85,4.58,4.87,4.21,2.89
43-9022.00,Word Processors and Typists,4.62,1.52,2.33,4.16,4.68,3.96,2.94
43-9031.00,Desktop Publishers,3.26,1.45,2.24,3.55,4.43,4.52,2.31
43-9041.00,Insurance Claims and Policy Processing Clerks,4.48,1.62,3.19,3.88,4.52,3.94,2.61
43-9051.00,"Mail Clerks and Mail Machine Operators, Except Postal Service",4.25,3.41,2.96,3.98,4.48,4.11,2.96
43-9061.00,"Office Clerks, General",4.22,1.45,2.1,3.64,4.6,3.77,2.09
43-9071.00,"Office Machine Operators, Except Computer",3.19,3.21,2.42,2.68,3.77,4.38,2.14
43-9081.00,Proofreaders and Copy Markers,4.67,1.02,2.41,4.48,4.89,4.7,1.97
43-9111.00,Statistical Assistants,3.44,1.11,2.65,3.66,4.46,3.63,2.99
45-1011.00,"First-Line Supervisors of Farming, Fishing, and Forestry Workers",2.97,2.56,2.2,3.03,3.96,3.88,2.93
45-2011.00,Agricultural Inspectors,3.92,2.79,2.36,3.41,4.62,3.9,2.51
45-2021.00,Animal Breeders,2.3,1.27,1.31,3.25,3.34,2.44,3.06
45-2041.00,"Graders and Sorters, Agricultural Products",2.03,4.04,2.32,4.42,3.57,4.18,2.39
45-2091.00,Agricultural Equipment Operators,2.41,3.59,2.04,2.11,3.72,3.4,2.99
45-2092.00,"Farmworkers and Laborers, Crop, Nursery, and Greenhouse",2.23,2.81,1.87,3.97,3.27,3.74,2.59
45-2093.00,"Farmworkers, Farm, Ranch, and Aquacultural Animals",2.76,1.52,1.82,3.0,3.37,2.37,2.12
45-3031.00,Fishing and Hunting Workers,2.5,2.0,1.45,3.6,3.24,3.05,3.95
45-4011.00,Forest and Conservation Workers,2.54,2.18,1.34,2.85,3.37,3.0,3.05
45-4021.00,Fallers,2.53,2.76,1.47,3.72,4.1,2.83,3.02
45-4022.00,Logging Equipment Operators,3.7,4.45,2.15,4.09,3.79,3.19,2.86
45-4023.00,Log Graders and Scalers,3.66,3.45,2.02,3.58,4.12,3.81,2.73
47-1011.00,First-Line Supervisors of Construction Trades and Extraction Workers,2.7,2.73,1.58,3.18,4.28,4.13,3.69
47-1011.03,Solar Energy Installation Managers,3.59,1.67,1.78,3.05,4.51,4.17,3.72
47-2011.00,Boilermakers,2.87,2.15,1.69,3.32,4.53,4.09,3.37
47-2021.00,Brickmasons and Blockmasons,2.6,2.11,1.6,4.56,4.12,4.08,3.36
47-2022.00,Stonemasons,3.3,2.24,1.48,4.11,4.6,3.67,3.09
47-2031.00,Carpenters,2.97,2.57,1.78,3.46,4.55,4.43,3.34
47-2041.00,Carpet Installers,2.53,1.42,1.21,4.07,3.96,4.24,3.47
47-2042.00,"Floor Layers, Except Carpet, Wood, and Hard Tiles",2.28,1.05,1.59,3.62,4.19,3.32,2.2
47-2043.00,Floor Sanders and Finishers,3.38,3.07,1.82,4.57,4.37,3.97,3.22
47-2044.00,Tile and Stone Setters,3.01,1.75,1.26,4.37,4.54,3.57,2.94
47-2051.00,Cement Masons and Concrete Finishers,3.09,4.39,2.46,4.5,4.44,3.77,4.08
47-2053.00,Terrazzo Workers and Finishers,2.76,3.32,1.5,3.82,4.31,4.29,3.47
47-2061.00,Construction Laborers,2.65,3.18,1.3,2.94,3.71,4.11,2.4
47-2071.00,"Paving, Surfacing, and Tamping Equipment Operators",2.96,3.8,2.54,3.94,3.48,3.46,3.29
47-2072.00,Pile Driver Operators,3.07,3.34,1.6,3.73,4.18,3.63,3.21
47-2073.00,Operating Engineers and Other Construction Equipment Operators,2.39,3.99,1.32,4.19,3.91,4.04,2.92
47-2081.00,Drywall and Ceiling Tile Installers,3.47,2.05,1.99,4.08,4.43,3.73,3.28
47-2082.00,Tapers,2.38,1.64,2.01,4.24,3.7,3.91,3.25
47-2111.00,Electricians,3.37,2.23,1.14,4.34,4.72,4.32,3.06
47-2121.00,Glaziers,3.08,2.4,1.43,3.64,4.42,3.93,3.43
47-2131.00,"Insulation Workers, Floor, Ceiling, and Wall",2.53,2.25,1.69,3.85,3.49,4.04,2.54
47-2132.00,"Insulation Workers, Mechanical",2.44,1.55,1.41,4.15,3.94,4.27,3.25
47-2141.00,"Painters, Construction and Maintenance",3.15,2.15,1.22,3.82,4.44,4.6,3.32
47-2142.00,Paperhangers,2.98,1.49,1.63,4.1,3.92,4.03,3.09
47-2151.00,Pipelayers,2.27,3.04,1.48,3.29,4.03,3.65,2.34
47-2152.00,"Plumbers, Pipefitters, and Steamfitters",3.09,2.15,1.35,3.49,4.11,4.27,3.68
47-2152.04,Solar Thermal Installers and Technicians,2.58,1.94,1.67,2.7,4.2,4.38,3.32
47-2161.00,Plasterers and Stucco Masons,2.31,3.06,2.16,4.0,4.17,3.24,3.17
47-2171.00,Reinforcing Iron and Rebar Workers,3.06,2.89,1.86,4.31,3.43,4.43,3.89
47-2181.00,Roofers,2.86,2.59,2.06,3.67,4.28,4.18,3.95
47-2211.00,Sheet Metal Workers,3.28,3.53,2.7,4.0,4.44,3.98,3.35
47-2221.00,Structural Iron and Steel Workers,2.5,2.83,1.41,3.57,4.13,4.24,3.58
47-2231.00,Solar Photovoltaic Installers,3.64,2.07,1.48,3.76,4.39,3.89,2.82
47-3011.00,"Helpers--Brickmasons, Blockmasons, Stonemasons, and Tile and Marble Setters",3.14,3.38,2.04,4.16,3.85,4.44,3.6
47-3012.00,Helpers--Carpenters,2.5,2.83,1.92,3.77,4.25,4.0,3.52
47-3013.00,Helpers--Electricians,3.28,1.8,1.5,3.84,4.2,3.91,2.7
47-3014.00,"Helpers--Painters, Paperhangers, Plasterers, and Stucco Masons",3.05,2.46,1.51,4.0,3.27,3.64,2.96
47-3015.00,"Helpers--Pipelayers, Plumbers, Pipefitters, and Steamfitters",2.78,2.65,1.38,3.73,3.52,3.84,2.67
47-3016.00,Helpers--Roofers,2.64,2.34,2.85,3.84,3.95,3.1,3.25
47-4011.00,Construction and Building Inspectors,2.84,1.68,2.04,2.28,4.12,4.08,2.92
47-4011.01,Energy Auditors,2.59,1.5,1.75,2.0,3.83,4.1,2.93
47-4021.00,Elevator and Escalator Installers and Repairers,3.64,2.54,2.0,3.55,4.54,4.08,3.73
47-4031.00,Fence Erectors,3.45,2.35,2.39,4.14,4.07,4.52,3.75
47-4041.00,Hazardous Materials Removal Workers,3.16,2.79,2.1,3.49,3.75,3.88,2.86
47-4051.00,Highway Maintenance Workers,3.51,3.35,2.29,4.22,4.1,3.72,3.11
47-4061.00,Rail-Track Laying and Maintenance Equipment Operators,3.3,3.64,2.15,3.91,3.92,3.9,2.87
47-4071.00,Septic Tank Servicers and Sewer Pipe Cleaners,2.97,2.87,1.56,3.54,3.39,3.82,2.41
47-4091.00,Segmental Pavers,3.23,1.86,2.61,3.35,3.75,4.06,3.12
47-4099.03,Weatherization Installers and Technicians,3.09,2.48,1.68,2.77,3.59,3.83,2.26
47-5011.00,"Derrick Operators, Oil and Gas",4.17,3.08,1.66,4.28,3.93,3.21,2.86
47-5012.00,"Rotary Drill Operators, Oil and Gas",4.39,3.79,1.83,3.72,4.61,4.1,4.37
47-5013.00,"Service Unit Operators, Oil and Gas",4.09,4.07,2.11,3.88,4.35,4.35,3.71
47-5022.00,"Excavating and Loading Machine and Dragline Operators, Surface Mining",3.27,3.9,1.73,4.1,3.8,3.58,3.4
47-5023.00,"Earth Drillers, Except Oil and Gas",2.64,2.95,1.87,4.21,3.62,3.0,2.54
47-5032.00,"Explosives Workers, Ordnance Handling Experts, and Blasters",3.38,3.3,2.18,3.48,4.5,4.35,3.35
47-5041.00,Continuous Mining Machine Operators,3.2,3.86,1.65,4.14,4.11,3.4,3.62
47-5043.00,"Roof Bolters, Mining",3.76,4.6,1.64,4.96,3.88,4.79,3.33
47-5044.00,"Loading and Moving Machine Operators, Underground Mining",2.53,3.79,2.16,4.04,3.46,3.68,2.6
47-5051.00,"Rock Splitters, Quarry",2.4,3.04,1.83,3.04,3.74,2.61,2.33
47-5071.00,"Roustabouts, Oil and Gas",3.31,2.81,1.92,3.7,3.74,4.28,3.05
47-5081.00,Helpers--Extraction Workers,3.13,3.91,1.52,4.08,3.94,3.47,3.23
49-1011.00,"First-Line Supervisors of Mechanics, Installers, and Repairers",3.87,1.64,1.46,2.91,4.43,3.93,2.91
49-2011.00,"Computer, Automated Teller, and Office Machine Repairers",3.65,1.91,2.46,2.78,4.01,4.24,2.87
49-2021.00,"Radio, Cellular, and Tower Equipment Installers and Repairers",2.88,1.54,1.48,2.8,4.25,3.48,2.79
49-2022.00,"Telecommunications Equipment Installers and Repairers, Except Line Installers",3.89,1.11,1.67,3.21,4.16,4.12,2.74
49-2091.00,Avionics Technicians,2.88,1.59,1.75,2.85,4.42,4.54,3.39
49-2092.00,"Electric Motor, Power Tool, and Related Repairers",3.25,2.94,1.51,3.68,4.51,4.04,3.29
49-2093.00,"Electrical and Electronics Installers and Repairers, Transportation Equipment",3.13,2.32,1.86,4.03,4.18,4.48,2.63
49-2094.00,"Electrical and Electronics Repairers, Commercial and Industrial Equipment",3.29,2.27,2.36,3.18,4.41,3.16,2.27
49-2095.00,"Electrical and Electronics Repairers, Powerhouse, Substation, and Relay",4.19,2.12,2.37,2.83,4.74,4.17,3.43
49-2096.00,"Electronic Equipment Installers and Repairers, Motor Vehicles",3.46,2.18,1.6,3.99,4.71,4.53,3.06
49-2097.00,Audiovisual Equipment Installers and Repairers,2.69,1.68,2.2,2.94,3.76,3.82,2.92
49-2098.00,Security and Fire Alarm Systems Installers,3.05,1.14,1.43,2.39,4.33,4.08,3.38
49-3011.00,Aircraft Mechanics and Service Technicians,3.71,1.99,1.27,3.51,4.69,4.24,2.48
49-3021.00,Automotive Body and Related Repairers,2.87,2.26,1.65,4.04,4.39,4.53,3.78
49-3022.00,Automotive Glass Installers and Repairers,3.17,1.44,1.07,3.51,4.12,4.41,2.58
49-3023.00,Automotive Service Technicians and Mechanics,3.42,1.81,1.53,3.56,4.51,4.48,3.22
49-3031.00,Bus and Truck Mechanics and Diesel Engine Specialists,3.2,2.36,1.55,4.14,4.44,4.07,2.99
49-3041.00,Farm Equipment Mechanics and Service Technicians,3.37,2.35,1.37,3.88,4.41,4.08,3.16
49-3042.00,"Mobile Heavy Equipment Mechanics, Except Engines",3.52,2.51,1.49,3.83,4.34,3.93,2.65
49-3043.00,Rail Car Repairers,2.8,2.23,1.44,3.37,3.83,3.99,2.4
49-3051.00,Motorboat Mechanics and Service Technicians,2.4,1.72,1.56,2.86,3.93,4.17,3.22
49-3052.00,Motorcycle Mechanics,3.78,1.83,1.06,3.96,4.71,4.54,3.66
49-3053.00,Outdoor Power Equipment and Other Small Engine Mechanics,3.07,1.32,1.36,3.1,3.76,3.66,1.75
49-3091.00,Bicycle Repairers,2.22,1.27,1.12,3.67,4.48,4.53,2.85
49-3092.00,Recreational Vehicle Service Technicians,2.33,1.28,1.71,2.77,3.62,3.46,2.28
49-3093.00,Tire Repairers and Changers,3.46,2.8,2.08,3.97,4.53,4.15,3.3
49-9011.00,Mechanical Door Repairers,3.18,1.65,1.68,3.41,3.9,4.0,3.2
49-9012.00,"Control and Valve Installers and Repairers, Except Mechanical Door",3.28,2.28,2.23,3.67,4.22,4.03,2.1
49-9021.00,"Heating, Air Conditioning, and Refrigeration Mechanics and Installers",3.49,2.12,1.97,3.1,4.15,3.8,3.08
49-9031.00,Home Appliance Repairers,3.04,1.83,1.81,3.08,4.22,3.74,3.14
49-9041.00,Industrial Machinery Mechanics,2.94,3.33,2.19,2.65,3.72,3.69,2.82
49-9043.00,"Maintenance Workers, Machinery",3.58,3.36,2.35,3.25,4.1,3.7,2.42
49-9044.00,Millwrights,3.91,3.09,1.86,3.55,4.91,4.59,3.36
49-9045.00,"Refractory Materials Repairers, Except Brickmasons",3.06,3.47,1.72,3.98,3.73,4.67,2.76
49-9051.00,Electrical Power-Line Installers and Repairers,2.79,2.77,1.48,3.37,4.56,4.11,3.34
49-9052.00,Telecommunications Line Installers and Repairers,3.56,2.39,1.8,3.7,4.38,4.54,3.37
49-9061.00,Camera and Photographic Equipment Repairers,2.96,1.04,1.21,3.34,4.63,3.67,1.83
49-9062.00,Medical Equipment Repairers,3.33,1.76,1.79,2.5,4.72,3.82,3.01
49-9063.00,Musical Instrument Repairers and Tuners,3.6,1.11,1.14,4.0,4.9,3.86,2.57
49-9064.00,Watch and Clock Repairers,2.52,1.13,1.05,2.72,4.86,3.81,2.25
49-9071.00,"Maintenance and Repair Workers, General",3.09,3.23,2.48,3.43,3.97,3.72,2.46
49-9081.00,Wind Turbine Service Technicians,4.18,2.71,2.12,4.44,4.29,4.21,3.57
49-9091.00,"Coin, Vending, and Amusement Machine Servicers and Repairers",4.05,2.0,1.88,3.49,4.05,3.03,2.58
49-9092.00,Commercial Divers,3.39,2.36,1.54,3.17,4.26,3.85,3.24
49-9094.00,Locksmiths and Safe Repairers,3.0,1.81,1.58,2.69,4.48,3.92,3.69
49-9095.00,Manufactured Building and Mobile Home Installers,2.65,2.64,1.05,4.25,4.33,4.24,3.35
49-9096.00,Riggers,3.55,3.7,1.96,3.86,4.42,4.61,3.67
49-9097.00,Signal and Track Switch Repairers,3.07,2.07,2.0,3.07,3.99,3.86,2.65
49-9098.00,"Helpers--Installation, Maintenance, and Repair Workers",3.12,2.36,2.1,2.94,3.89,3.44,2.34
49-9099.01,Geothermal Technicians,3.73,2.59,3.06,3.17,3.64,3.58,2.65
51-1011.00,First-Line Supervisors of Production and Operating Workers,3.34,3.83,2.3,2.77,4.23,4.5,3.08
51-2011.00,"Aircraft Structure, Surfaces, Rigging, and Systems Assemblers",3.65,2.39,2.17,3.96,4.45,3.53,2.56
51-2021.00,"Coil Winders, Tapers, and Finishers",3.63,2.41,1.64,4.65,4.92,4.14,2.82
51-2022.00,Electrical and Electronic Equipment Assemblers,2.94,2.75,1.75,3.78,4.11,4.48,3.1
51-2023.00,Electromechanical Equipment Assemblers,3.55,2.31,2.29,3.5,4.16,3.78,2.78
51-2031.00,Engine and Other Machine Assemblers,3.01,2.66,1.87,3.72,4.49,4.31,2.67
51-2041.00,Structural Metal Fabricators and Fitters,2.93,2.77,2.08,3.59,4.34,4.33,2.75
51-2051.00,Fiberglass Laminators and Fabricators,3.59,2.92,1.76,4.2,3.75,4.59,2.08
51-2061.00,Timing Device Assemblers and Adjusters,2.23,1.07,1.91,1.88,3.58,2.91,2.06
51-2092.00,Team Assemblers,2.81,2.86,2.09,3.88,4.66,4.5,3.28
51-3011.00,Bakers,3.08,3.27,2.5,3.66,4.2,4.32,2.8
51-3021.00,Butchers and Meat Cutters,3.0,3.58,2.44,4.26,3.92,4.12,2.88
51-3022.00,"Meat, Poultry, and Fish Cutters and Trimmers",3.52,4.22,2.89,4.76,4.51,4.59,3.42
51-3023.00,Slaughterers and Meat Packers,3.07,4.2,1.9,4.28,3.79,2.97,3.0
51-3091.00,"Food and Tobacco Roasting, Baking, and Drying Machine Operators and Tenders",3.58,3.83,3.22,3.41,4.32,4.03,2.33
51-3092.00,Food Batchmakers,4.09,4.29,2.77,3.86,4.25,4.19,2.78
51-3093.00,Food Cooking Machine Operators and Tenders,3.03,3.49,2.89,3.61,3.69,4.14,2.29
51-4021.00,"Extruding and Drawing Machine Setters, Operators, and Tenders, Metal and Plastic",3.46,4.76,2.73,3.37,3.99,4.41,2.4
51-4022.00,"Forging Machine Setters, Operators, and Tenders, Metal and Plastic",3.56,4.06,2.96,3.54,4.02,4.47,2.95
51-4023.00,"Rolling Machine Setters, Operators, and Tenders, Metal and Plastic",3.7,4.12,2.68,3.75,4.39,4.36,2.89
51-4031.00,"Cutting, Punching, and Press Machine Setters, Operators, and Tenders, Metal and Plastic",4.13,4.71,2.42,4.46,4.37,4.14,2.27
51-4032.00,"Drilling and Boring Machine Tool Setters, Operators, and Tenders, Metal and Plastic",3.41,3.87,2.67,3.4,4.7,4.32,2.42
51-4033.00,"Grinding, Lapping, Polishing, and Buffing Machine Tool Setters, Operators, and Tenders, Metal and Plastic",3.69,4.07,2.9,3.76,4.62,4.31,2.9
51-4034.00,"Lathe and Turning Machine Tool Setters, Operators, and Tenders, Metal and Plastic",2.88,3.12,2.62,3.45,3.71,3.26,3.29
51-4035.00,"Milling and Planing Machine Setters, Operators, and Tenders, Metal and Plastic",3.28,3.89,2.24,3.7,4.63,4.1,2.5
51-4041.00,Machinists,3.89,4.33,3.05,4.02,4.61,4.22,3.14
51-4051.00,Metal-Refining Furnace Operators and Tenders,3.83,4.41,2.91,4.01,4.08,3.39,2.29
51-4052.00,"Pourers and Casters, Metal",2.1,3.32,2.48,3.62,3.51,3.48,2.29
51-4061.00,"Model Makers, Metal and Plastic",3.73,3.46,2.33,3.29,4.78,4.24,2.38
51-4062.00,"Patternmakers, Metal and Plastic",3.04,3.48,2.12,3.37,4.13,4.51,3.39
51-4071.00,Foundry Mold and Coremakers,2.96,3.72,2.24,4.03,4.18,4.2,3.24
51-4072.00,"Molding, Coremaking, and Casting Machine Setters, Operators, and Tenders, Metal and Plastic",3.47,3.93,2.42,3.46,4.14,3.96,3.16
51-4081.00,"Multiple Machine Tool Setters, Operators, and Tenders, Metal and Plastic",2.93,3.95,3.02,2.89,4.69,4.46,2.62
51-4111.00,Tool and Die Makers,2.87,3.24,1.8,2.9,4.8,4.29,2.56
51-4121.00,"Welders, Cutters, Solderers, and Brazers",3.16,2.64,1.76,3.46,4.36,4.51,2.78
51-4122.00,"Welding, Soldering, and Brazing Machine Setters, Operators, and Tenders",3.26,3.35,2.41,4.22,4.38,4.28,3.42
51-4191.00,"Heat Treating Equipment Setters, Operators, and Tenders, Metal and Plastic",4.14,4.01,1.91,3.9,4.15,4.6,2.69
51-4192.00,"Layout Workers, Metal and Plastic",2.87,2.6,2.01,3.68,4.69,4.64,2.98
51-4193.00,"Plating Machine Setters, Operators, and Tenders, Metal and Plastic",3.49,3.43,2.23,3.47,4.22,4.94,2.54
51-4194.00,"Tool Grinders, Filers, and Sharpeners",2.79,4.12,2.16,4.07,4.61,4.05,3.26
51-5111.00,Prepress Technicians and Workers,3.72,2.43,3.08,3.64,4.64,4.92,2.45
51-5112.00,Printing Press Operators,3.61,4.04,2.61,3.82,4.7,4.8,2.67
51-5113.00,Print Binding and Finishing Workers,3.6,3.57,2.7,4.19,4.31,3.87,2.68
51-6011.00,Laundry and Dry-Cleaning Workers,3.07,4.12,3.27,4.13,3.93,3.91,3.43
51-6021.00,"Pressers, Textile, Garment, and Related Materials",2.84,4.19,2.55,3.68,4.07,3.94,3.38
51-6031.00,Sewing Machine Operators,2.61,3.03,1.88,4.44,3.98,3.76,2.59
51-6041.00,Shoe and Leather Workers and Repairers,2.39,2.82,2.01,4.29,4.19,4.03,3.04
51-6042.00,Shoe Machine Operators and Tenders,3.75,3.71,1.47,4.85,4.41,3.89,2.57
51-6051.00,"Sewers, Hand",3.13,3.82,2.12,4.3,4.75,3.21,3.12
51-6052.00,"Tailors, Dressmakers, and Custom Sewers",3.17,3.71,2.13,3.58,4.53,4.53,2.74
51-6061.00,Textile Bleaching and Dyeing Machine Operators and Tenders,3.51,4.29,2.7,3.31,4.19,3.82,3.04
51-6062.00,"Textile Cutting Machine Setters, Operators, and Tenders",3.27,4.1,2.56,3.39,4.36,3.88,2.09
51-6063.00,"Textile Knitting and Weaving Machine Setters, Operators, and Tenders",3.48,4.2,1.87,3.5,3.98,4.06,2.68
51-6064.00,"Textile Winding, Twisting, and Drawing Out Machine Setters, Operators, and Tenders",3.36,4.17,2.58,4.11,3.87,3.27,2.42
51-6091.00,"Extruding and Forming Machine Setters, Operators, and Tenders, Synthetic and Glass Fibers",3.31,3.61,3.11,3.01,4.04,3.88,3.1
51-6092.00,Fabric and Apparel Patternmakers,3.24,1.66,2.21,3.64,4.72,4.07,2.13
51-6093.00,Upholsterers,2.21,2.3,1.2,4.14,4.33,3.86,3.71
51-7011.00,Cabinetmakers and Bench Carpenters,2.67,2.31,2.13,3.48,4.11,4.11,3.01
51-7021.00,Furniture Finishers,2.08,2.07,1.36,3.63,4.22,3.82,2.45
51-7031.00,"Model Makers, Wood",3.3,2.78,1.87,2.61,4.24,4.16,2.41
51-7032.00,"Patternmakers, Wood",3.71,3.1,2.19,2.92,4.7,4.14,3.43
51-7041.00,"Sawing Machine Setters, Operators, and Tenders, Wood",2.85,4.21,2.52,3.85,4.6,4.18,2.78
51-7042.00,"Woodworking Machine Setters, Operators, and Tenders, Except Sawing",3.68,3.17,2.13,4.34,4.4,3.96,2.64
51-8011.00,Nuclear Power Reactor Operators,4.09,2.14,3.04,2.44,4.91,4.28,2.5
51-8012.00,Power Distributors and Dispatchers,4.35,2.16,2.78,3.3,4.6,3.94,3.54
51-8013.00,Power Plant Operators,3.56,2.85,2.96,2.96,4.07,3.6,2.7
51-8013.03,Biomass Plant Technicians,4.33,3.59,3.29,2.84,3.96,3.46,2.76
51-8013.04,Hydroelectric Plant Technicians,2.92,2.49,2.16,2.54,3.81,3.23,2.86
51-8021.00,Stationary Engineers and Boiler Operators,3.94,3.11,2.73,2.71,4.25,3.74,3.01
51-8031.00,Water and Wastewater Treatment Plant and System Operators,3.71,2.79,3.04,2.5,4.04,4.0,2.5
51-8091.00,Chemical Plant and System Operators,4.04,4.41,3.64,2.99,4.46,4.11,2.7
51-8092.00,Gas Plant Operators,3.86,3.13,3.24,2.77,4.52,3.6,2.62
51-8093.00,"Petroleum Pump System Operators, Refinery Operators, and Gaugers",3.79,3.48,3.31,2.94,4.05,3.75,2.67
51-8099.01,Biofuels Processing Technicians,3.89,4.3,3.57,2.82,4.39,3.93,2.93
51-9011.00,Chemical Equipment Operators and Tenders,3.86,4.15,2.88,3.06,4.28,4.02,3.08
51-9012.00,"Separating, Filtering, Clarifying, Precipitating, and Still Machine Setters, Operators, and Tenders",2.99,3.33,3.5,2.89,3.66,2.95,2.2
51-9021.00,"Crushing, Grinding, and Polishing Machine Setters, Operators, and Tenders",3.28,4.03,2.67,3.18,3.7,3.72,2.97
51-9022.00,"Grinding and Polishing Workers, Hand",3.57,3.04,2.18,3.86,4.21,4.05,2.07
51-9023.00,"Mixing and Blending Machine Setters, Operators, and Tenders",4.24,4.09,2.53,3.78,4.62,4.68,2.87
51-9031.00,"Cutters and Trimmers, Hand",2.6,2.7,2.22,4.04,4.57,3.75,1.86
51-9032.00,"Cutting and Slicing Machine Setters, Operators, and Tenders",3.84,3.97,2.92,4.07,4.53,3.93,2.62
51-9041.00,"Extruding, Forming, Pressing, and Compacting Machine Setters, Operators, and Tenders",3.66,4.34,3.23,3.32,4.2,3.92,2.64
51-9051.00,"Furnace, Kiln, Oven, Drier, and Kettle Operators and Tenders",3.37,3.55,2.82,3.51,3.99,2.84,2.83
51-9061.00,"Inspectors, Testers, Sorters, Samplers, and Weighers",3.63,3.13,2.15,3.17,4.55,3.72,2.52
51-9071.00,Jewelers and Precious Stone and Metal Workers,3.53,1.3,1.5,3.2,4.78,4.64,3.37
51-9071.06,Gem and Diamond Workers,4.51,1.4,2.57,3.8,4.85,3.7,1.78
51-9081.00,Dental Laboratory Technicians,3.75,2.69,1.97,4.09,4.79,4.81,3.22
51-9082.00,Medical Appliance Technicians,3.21,2.04,1.78,3.51,4.39,4.39,3.34
51-9083.00,Ophthalmic Laboratory Technicians,4.14,3.9,3.18,4.18,4.26,4.58,2.64
51-9111.00,Packaging and Filling Machine Operators and Tenders,3.97,4.6,2.56,4.11,4.41,4.44,3.42
51-9123.00,"Painting, Coating, and Decorating Workers",2.43,2.31,2.19,3.83,3.85,2.86,2.49
51-9124.00,"Coating, Painting, and Spraying Machine Setters, Operators, and Tenders",2.73,3.42,1.82,4.61,3.96,4.23,2.64
51-9141.00,Semiconductor Processing Technicians,3.79,3.49,2.83,3.14,4.25,3.86,3.05
51-9151.00,Photographic Process Workers and Processing Machine Operators,3.25,1.77,3.22,3.22,3.73,4.01,3.3
51-9161.00,Computer Numerically Controlled Tool Operators,4.01,3.94,3.26,3.33,4.79,4.41,2.8
51-9162.00,Computer Numerically Controlled Tool Programmers,3.97,3.81,2.79,2.92,4.43,4.2,3.21
51-9191.00,Adhesive Bonding Machine Operators and Tenders,3.65,4.0,2.84,3.73,3.88,4.11,2.59
51-9192.00,"Cleaning, Washing, and Metal Pickling Equipment Operators and Tenders",3.07,3.61,2.44,3.44,3.2,4.09,2.11
51-9193.00,Cooling and Freezing Equipment Operators and Tenders,3.74,3.87,2.98,2.4,4.09,4.06,3.2
