O*NET-SOC Code,Title,Alias
49-3052.00,Motorcycle Mechanics,Motorcycle Mechanic
49-3053.00,Outdoor Power Equipment and Other Small Engine Mechanics,Outdoor Power Equipment and Other Small Engine Mechanic
49-3053.00,Outdoor Power Equipment and Other Small Engine Mechanics,Outdoor Power Equipment & Other Small Engine Mechanics
49-3091.00,Bicycle Repairers,Bicycle Repairer
49-3092.00,Recreational Vehicle Service Technicians,Recreational Vehicle Service Technician
49-3092.00,Recreational Vehicle Service Technicians,Recreational Vehicle Service
49-3093.00,Tire Repairers and Changers,Tire Repairers and Changer
49-3093.00,Tire Repairers and Changers,Tire Repairers & Changers
49-9011.00,Mechanical Door Repairers,Mechanical Door Repairer
49-9012.00,"Control and Valve Installers and Repairers, Except Mechanical Door","Control & Valve Installers & Repairers, Except Mechanical Door"
49-9021.00,"Heating, Air Conditioning, and Refrigeration Mechanics and Installers","Heating, Air Conditioning, & Refrigeration Mechanics & Installers"
49-9021.00,"Heating, Air Conditioning, and Refrigeration Mechanics and Installers","Heating, Air Conditioning, and Refrigeration Mechanics and Installer"
49-9031.00,Home Appliance Repairers,Home Appliance Repairer
49-9041.00,Industrial Machinery Mechanics,Industrial Machinery Mechanic
49-9044.00,Millwrights,Millwright
49-9045.00,"Refractory Materials Repairers, Except Brickmasons","Refractory Materials Repairers, Except Brickmason"
49-9051.00,Electrical Power-Line Installers and Repairers,Electrical Power-Line Installers and Repairer
49-9051.00,Electrical Power-Line Installers and Repairers,Electrical Power-Line Installers & Repairers
49-9052.00,Telecommunications Line Installers and Repairers,Telecommunications Line Installers and Repairer
49-9052.00,Telecommunications Line Installers and Repairers,Telecommunications Line Installers & Repairers
49-9061.00,Camera and Photographic Equipment Repairers,Camera and Photographic Equipment Repairer
49-9061.00,Camera and Photographic Equipment Repairers,Camera & Photographic Equipment Repairers
49-9062.00,Medical Equipment Repairers,Medical Equipment Repairer
49-9063.00,Musical Instrument Repairers and Tuners,Musical Instrument Repairers and Tuner
49-9063.00,Musical Instrument Repairers and Tuners,Musical Instrument Repairers & Tuners
49-9064.00,Watch and Clock Repairers,Watch and Clock Repairer
49-9064.00,Watch and Clock Repairers,Watch & Clock Repairers
49-9069.00,"Precision Instrument and Equipment Repairers, All Other","Precision Instrument & Equipment Repairers, All Other"
49-9071.00,"Maintenance and Repair Workers, General","Maintenance & Repair Workers, General"
49-9081.00,Wind Turbine Service Technicians,Wind Turbine Service
49-9081.00,Wind Turbine Service Technicians,Wind Turbine Service Technician
49-9091.00,"Coin, Vending, and Amusement Machine Servicers and Repairers","Coin, Vending, and Amusement Machine Servicers and Repairer"
49-9091.00,"Coin, Vending, and Amusement Machine Servicers and Repairers","Coin, Vending, & Amusement Machine Servicers & Repairers"
49-9092.00,Commercial Divers,Commercial Diver
49-9094.00,Locksmiths and Safe Repairers,Locksmiths and Safe Repairer
49-9094.00,Locksmiths and Safe Repairers,Locksmiths & Safe Repairers
49-9095.00,Manufactured Building and Mobile Home Installers,Manufactured Building and Mobile Home Installer
49-9095.00,Manufactured Building and Mobile Home Installers,Manufactured Building & Mobile Home Installers
49-9096.00,Riggers,Rigger
49-9097.00,Signal and Track Switch Repairers,Signal & Track Switch Repairers
49-9097.00,Signal and Track Switch Repairers,Signal and Track Switch Repairer
49-9098.00,"Helpers--Installation, Maintenance, and Repair Workers","Helpers--Installation, Maintenance, & Repair Workers"
49-9098.00,"Helpers--Installation, Maintenance, and Repair Workers","Helpers--Installation, Maintenance, and Repair Worker"
49-9099.00,"Installation, Maintenance, and Repair Workers, All Other","Installation, Maintenance, & Repair Workers, All Other"
49-9099.01,Geothermal Technicians,Geothermal Technician
49-9099.01,Geothermal Technicians,Geothermal
51-1011.00,First-Line Supervisors of Production and Operating Workers,First-Line Supervisors of Production and Operating Worker
51-1011.00,First-Line Supervisors of Production and Operating Workers,First-Line Supervisors of Production & Operating Workers
51-2011.00,"Aircraft Structure, Surfaces, Rigging, and Systems Assemblers","Aircraft Structure, Surfaces, Rigging, and Systems Assembler"
51-2011.00,"Aircraft Structure, Surfaces, Rigging, and Systems Assemblers","Aircraft Structure, Surfaces, Rigging, & Systems Assemblers"
51-2021.00,"Coil Winders, Tapers, and Finishers","Coil Winders, Tapers, & Finishers"
51-2021.00,"Coil Winders, Tapers, and Finishers","Coil Winders, Tapers, and Finisher"
51-2022.00,Electrical and Electronic Equipment Assemblers,Electrical & Electronic Equipment Assemblers
51-2022.00,Electrical and Electronic Equipment Assemblers,Electrical and Electronic Equipment Assembler
51-2023.00,Electromechanical Equipment Assemblers,Electromechanical Equipment Assembler
51-2031.00,Engine and Other Machine Assemblers,Engine and Other Machine Assembler
51-2031.00,Engine and Other Machine Assemblers,Engine & Other Machine Assemblers
51-2041.00,Structural Metal Fabricators and Fitters,Structural Metal Fabricators and Fitter
51-2041.00,Structural Metal Fabricators and Fitters,Structural Metal Fabricators & Fitters
51-2051.00,Fiberglass Laminators and Fabricators,Fiberglass Laminators & Fabricators
51-2051.00,Fiberglass Laminators and Fabricators,Fiberglass Laminators and Fabricator
51-2061.00,Timing Device Assemblers and Adjusters,Timing Device Assemblers and Adjuster
51-2061.00,Timing Device Assemblers and Adjusters,Timing Device Assemblers & Adjusters
51-2092.00,Team Assemblers,Team Assembler
51-2099.00,"Assemblers and Fabricators, All Other","Assemblers & Fabricators, All Other"
51-3011.00,Bakers,Baker
51-3021.00,Butchers and Meat Cutters,Butchers and Meat Cutter
51-3021.00,Butchers and Meat Cutters,Butchers & Meat Cutters
51-3022.00,"Meat, Poultry, and Fish Cutters and Trimmers","Meat, Poultry, & Fish Cutters & Trimmers"
51-3022.00,"Meat, Poultry, and Fish Cutters and Trimmers","Meat, Poultry, and Fish Cutters and Trimmer"
51-3023.00,Slaughterers and Meat Packers,Slaughterers and Meat Packer
51-3023.00,Slaughterers and Meat Packers,Slaughterers & Meat Packers
51-3091.00,"Food and Tobacco Roasting, Baking, and Drying Machine Operators and Tenders","Food & Tobacco Roasting, Baking, & Drying Machine Operators & Tenders"
51-3091.00,"Food and Tobacco Roasting, Baking, and Drying Machine Operators and Tenders","Food and Tobacco Roasting, Baking, and Drying Machine Operators and Tender"
51-3092.00,Food Batchmakers,Food Batchmaker
51-3093.00,Food Cooking Machine Operators and Tenders,Food Cooking Machine Operators and Tender
51-3093.00,Food Cooking Machine Operators and Tenders,Food Cooking Machine Operators & Tenders
51-4021.00,"Extruding and Drawing Machine Setters, Operators, and Tenders, Metal and Plastic","Extruding & Drawing Machine Setters, Operators, & Tenders, Metal & Plastic"
51-4022.00,"Forging Machine Setters, Operators, and Tenders, Metal and Plastic","Forging Machine Setters, Operators, & Tenders, Metal & Plastic"
51-4023.00,"Rolling Machine Setters, Operators, and Tenders, Metal and Plastic","Rolling Machine Setters, Operators, & Tenders, Metal & Plastic"
51-4031.00,"Cutting, Punching, and Press Machine Setters, Operators, and Tenders, Metal and Plastic","Cutting, Punching, & Press Machine Setters, Operators, & Tenders, Metal & Plastic"
51-4032.00,"Drilling and Boring Machine Tool Setters, Operators, and Tenders, Metal and Plastic","Drilling & Boring Machine Tool Setters, Operators, & Tenders, Metal & Plastic"
51-4033.00,"Grinding, Lapping, Polishing, and Buffing Machine Tool Setters, Operators, and Tenders, Metal and Plastic","Grinding, Lapping, Polishing, & Buffing Machine Tool Setters, Operators, & Tenders, Metal & Plastic"
51-4034.00,"Lathe and Turning Machine Tool Setters, Operators, and Tenders, Metal and Plastic","Lathe & Turning Machine Tool Setters, Operators, & Tenders, Metal & Plastic"
51-4035.00,"Milling and Planing Machine Setters, Operators, and Tenders, Metal and Plastic","Milling & Planing Machine Setters, Operators, & Tenders, Metal & Plastic"
51-4041.00,Machinists,Machinist
51-4051.00,Metal-Refining Furnace Operators and Tenders,Metal-Refining Furnace Operators and Tender
51-4051.00,Metal-Refining Furnace Operators and Tenders,Metal-Refining Furnace Operators & Tenders
51-4052.00,"Pourers and Casters, Metal","Pourers & Casters, Metal"
51-4061.00,"Model Makers, Metal and Plastic","Model Makers, Metal & Plastic"
51-4062.00,"Patternmakers, Metal and Plastic","Patternmakers, Metal & Plastic"
51-4071.00,Foundry Mold and Coremakers,Foundry Mold and Coremaker
51-4071.00,Foundry Mold and Coremakers,Foundry Mold & Coremakers
51-4072.00,"Molding, Coremaking, and Casting Machine Setters, Operators, and Tenders, Metal and Plastic","Molding, Coremaking, & Casting Machine Setters, Operators, & Tenders, Metal & Plastic"
51-4081.00,"Multiple Machine Tool Setters, Operators, and Tenders, Metal and Plastic","Multiple Machine Tool Setters, Operators, & Tenders, Metal & Plastic"
51-4111.00,Tool and Die Makers,Tool & Die Makers
51-4111.00,Tool and Die Makers,Tool and Die Maker
51-4121.00,"Welders, Cutters, Solderers, and Brazers","Welders, Cutters, Solderers, and Brazer"
51-4121.00,"Welders, Cutters, Solderers, and Brazers","Welders, Cutters, Solderers, & Brazers"
51-4122.00,"Welding, Soldering, and Brazing Machine Setters, Operators, and Tenders","Welding, Soldering, & Brazing Machine Setters, Operators, & Tenders"
51-4122.00,"Welding, Soldering, and Brazing Machine Setters, Operators, and Tenders","Welding, Soldering, and Brazing Machine Setters, Operators, and Tender"
51-4191.00,"Heat Treating Equipment Setters, Operators, and Tenders, Metal and Plastic","Heat Treating Equipment Setters, Operators, & Tenders, Metal & Plastic"
51-4192.00,"Layout Workers, Metal and Plastic","Layout Workers, Metal & Plastic"
51-4193.00,"Plating Machine Setters, Operators, and Tenders, Metal and Plastic","Plating Machine Setters, Operators, & Tenders, Metal & Plastic"
51-4194.00,"Tool Grinders, Filers, and Sharpeners","Tool Grinders, Filers, & Sharpeners"
51-4194.00,"Tool Grinders, Filers, and Sharpeners","Tool Grinders, Filers, and Sharpener"
51-4199.00,"Metal Workers and Plastic Workers, All Other","Metal Workers & Plastic Workers, All Other"
51-5111.00,Prepress Technicians and Workers,Prepress Technicians & Workers
51-5111.00,Prepress Technicians and Workers,Prepress Technicians and Worker
51-5112.00,Printing Press Operators,Printing Press Operator
51-5113.00,Print Binding and Finishing Workers,Print Binding & Finishing Workers
51-5113.00,Print Binding and Finishing Workers,Print Binding and Finishing Worker
51-6011.00,Laundry and Dry-Cleaning Workers,Laundry and Dry-Cleaning Worker
51-6011.00,Laundry and Dry-Cleaning Workers,Laundry & Dry-Cleaning Workers
51-6021.00,"Pressers, Textile, Garment, and Related Materials","Pressers, Textile, Garment, and Related Material"
51-6021.00,"Pressers, Textile, Garment, and Related Materials","Pressers, Textile, Garment, & Related Materials"
51-6031.00,Sewing Machine Operators,Sewing Machine Operator
51-6041.00,Shoe and Leather Workers and Repairers,Shoe & Leather Workers & Repairers
51-6041.00,Shoe and Leather Workers and Repairers,Shoe and Leather Workers and Repairer
51-6042.00,Shoe Machine Operators and Tenders,Shoe Machine Operators & Tenders
51-6042.00,Shoe Machine Operators and Tenders,Shoe Machine Operators and Tender
51-6052.00,"Tailors, Dressmakers, and Custom Sewers","Tailors, Dressmakers, and Custom Sewer"
51-6052.00,"Tailors, Dressmakers, and Custom Sewers","Tailors, Dressmakers, & Custom Sewers"
51-6061.00,Textile Bleaching and Dyeing Machine Operators and Tenders,Textile Bleaching and Dyeing Machine Operators and Tender
51-6061.00,Textile Bleaching and Dyeing Machine Operators and Tenders,Textile Bleaching & Dyeing Machine Operators & Tenders
51-6062.00,"Textile Cutting Machine Setters, Operators, and Tenders","Textile Cutting Machine Setters, Operators, & Tenders"
51-6062.00,"Textile Cutting Machine Setters, Operators, and Tenders","Textile Cutting Machine Setters, Operators, and Tender"
51-6063.00,"Textile Knitting and Weaving Machine Setters, Operators, and Tenders","Textile Knitting & Weaving Machine Setters, Operators, & Tenders"
51-6063.00,"Textile Knitting and Weaving Machine Setters, Operators, and Tenders","Textile Knitting and Weaving Machine Setters, Operators, and Tender"
51-6064.00,"Textile Winding, Twisting, and Drawing Out Machine Setters, Operators, and Tenders","Textile Winding, Twisting, & Drawing Out Machine Setters, Operators, & Tenders"
51-6064.00,"Textile Winding, Twisting, and Drawing Out Machine Setters, Operators, and Tenders","Textile Winding, Twisting, and Drawing Out Machine Setters, Operators, and Tender"
51-6091.00,"Extruding and Forming Machine Setters, Operators, and Tenders, Synthetic and Glass Fibers","Extruding and Forming Machine Setters, Operators, and Tenders, Synthetic and Glass Fiber"
51-6091.00,"Extruding and Forming Machine Setters, Operators, and Tenders, Synthetic and Glass Fibers","Extruding & Forming Machine Setters, Operators, & Tenders, Synthetic & Glass Fibers"
51-6092.00,Fabric and Apparel Patternmakers,Fabric & Apparel Patternmakers
51-6092.00,Fabric and Apparel Patternmakers,Fabric and Apparel Patternmaker
51-6093.00,Upholsterers,Upholsterer
51-6099.00,"Textile, Apparel, and Furnishings Workers, All Other","Textile, Apparel, & Furnishings Workers, All Other"
51-7011.00,Cabinetmakers and Bench Carpenters,Cabinetmakers & Bench Carpenters
51-7011.00,Cabinetmakers and Bench Carpenters,Cabinetmakers and Bench Carpenter
51-7021.00,Furniture Finishers,Furniture Finisher
51-7041.00,"Sawing Machine Setters, Operators, and Tenders, Wood","Sawing Machine Setters, Operators, & Tenders, Wood"
51-7042.00,"Woodworking Machine Setters, Operators, and Tenders, Except Sawing","Woodworking Machine Setters, Operators, & Tenders, Except Sawing"
51-8011.00,Nuclear Power Reactor Operators,Nuclear Power Reactor Operator
51-8012.00,Power Distributors and Dispatchers,Power Distributors and Dispatcher
51-8012.00,Power Distributors and Dispatchers,Power Distributors & Dispatchers
51-8013.00,Power Plant Operators,Power Plant Operator
51-8013.03,Biomass Plant Technicians,Biomass Plant Technician
51-8013.03,Biomass Plant Technicians,Biomass Plant
51-8013.04,Hydroelectric Plant Technicians,Hydroelectric Plant Technician
51-8013.04,Hydroelectric Plant Technicians,Hydroelectric Plant
51-8021.00,Stationary Engineers and Boiler Operators,Stationary Engineers and Boiler Operator
51-8021.00,Stationary Engineers and Boiler Operators,Stationary Engineers & Boiler Operators
51-8031.00,Water and Wastewater Treatment Plant and System Operators,Water and Wastewater Treatment Plant and System Operator
51-8031.00,Water and Wastewater Treatment Plant and System Operators,Water & Wastewater Treatment Plant & System Operators
51-8091.00,Chemical Plant and System Operators,Chemical Plant and System Operator
51-8091.00,Chemical Plant and System Operators,Chemical Plant & System Operators
51-8092.00,Gas Plant Operators,Gas Plant Operator
51-8093.00,"Petroleum Pump System Operators, Refinery Operators, and Gaugers","Petroleum Pump System Operators, Refinery Operators, & Gaugers"
51-8093.00,"Petroleum Pump System Operators, Refinery Operators, and Gaugers","Petroleum Pump System Operators, Refinery Operators, and Gauger"
51-8099.00,"Plant and System Operators, All Other","Plant & System Operators, All Other"
51-8099.01,Biofuels Processing Technicians,Biofuels Processing Technician
51-8099.01,Biofuels Processing Technicians,Biofuels Processing
51-9011.00,Chemical Equipment Operators and Tenders,Chemical Equipment Operators & Tenders
51-9011.00,Chemical Equipment Operators and Tenders,Chemical Equipment Operators and Tender
51-9012.00,"Separating, Filtering, Clarifying, Precipitating, and Still Machine Setters, Operators, and Tenders","Separating, Filtering, Clarifying, Precipitating, and Still Machine Setters, Operators, and Tender"
51-9012.00,"Separating, Filtering, Clarifying, Precipitating, and Still Machine Setters, Operators, and Tenders","Separating, Filtering, Clarifying, Precipitating, & Still Machine Setters, Operators, & Tenders"
51-9021.00,"Crushing, Grinding, and Polishing Machine Setters, Operators, and Tenders","Crushing, Grinding, and Polishing Machine Setters, Operators, and Tender"
51-9021.00,"Crushing, Grinding, and Polishing Machine Setters, Operators, and Tenders","Crushing, Grinding, & Polishing Machine Setters, Operators, & Tenders"
51-9022.00,"Grinding and Polishing Workers, Hand","Grinding & Polishing Workers, Hand"
51-9023.00,"Mixing and Blending Machine Setters, Operators, and Tenders","Mixing and Blending Machine Setters, Operators, and Tender"
51-9023.00,"Mixing and Blending Machine Setters, Operators, and Tenders","Mixing & Blending Machine Setters, Operators, & Tenders"
51-9031.00,"Cutters and Trimmers, Hand","Cutters & Trimmers, Hand"
51-9032.00,"Cutting and Slicing Machine Setters, Operators, and Tenders","Cutting and Slicing Machine Setters, Operators, and Tender"
51-9032.00,"Cutting and Slicing Machine Setters, Operators, and Tenders","Cutting & Slicing Machine Setters, Operators, & Tenders"
51-9041.00,"Extruding, Forming, Pressing, and Compacting Machine Setters, Operators, and Tenders","Extruding, Forming, Pressing, and Compacting Machine Setters, Operators, and Tender"
51-9041.00,"Extruding, Forming, Pressing, and Compacting Machine Setters, Operators, and Tenders","Extruding, Forming, Pressing, & Compacting Machine Setters, Operators, & Tenders"
51-9051.00,"Furnace, Kiln, Oven, Drier, and Kettle Operators and Tenders","Furnace, Kiln, Oven, Drier, & Kettle Operators & Tenders"
51-9051.00,"Furnace, Kiln, Oven, Drier, and Kettle Operators and Tenders","Furnace, Kiln, Oven, Drier, and Kettle Operators and Tender"
51-9061.00,"Inspectors, Testers, Sorters, Samplers, and Weighers","Inspectors, Testers, Sorters, Samplers, & Weighers"
51-9061.00,"Inspectors, Testers, Sorters, Samplers, and Weighers","Inspectors, Testers, Sorters, Samplers, and Weigher"
51-9071.00,Jewelers and Precious Stone and Metal Workers,Jewelers and Precious Stone and Metal Worker
51-9071.00,Jewelers and Precious Stone and Metal Workers,Jewelers & Precious Stone & Metal Workers
51-9071.06,Gem and Diamond Workers,Gem & Diamond Workers
51-9071.06,Gem and Diamond Workers,Gem and Diamond Worker
51-9081.00,Dental Laboratory Technicians,Dental Laboratory Technician
51-9081.00,Dental Laboratory Technicians,Dental Laboratory
51-9082.00,Medical Appliance Technicians,Medical Appliance
51-9082.00,Medical Appliance Technicians,Medical Appliance Technician
51-9083.00,Ophthalmic Laboratory Technicians,Ophthalmic Laboratory Technician
51-9083.00,Ophthalmic Laboratory Technicians,Ophthalmic Laboratory
51-9111.00,Packaging and Filling Machine Operators and Tenders,Packaging & Filling Machine Operators & Tenders
51-9111.00,Packaging and Filling Machine Operators and Tenders,Packaging and Filling Machine Operators and Tender
51-9123.00,"Painting, Coating, and Decorating Workers","Painting, Coating, and Decorating Worker"
51-9123.00,"Painting, Coating, and Decorating Workers","Painting, Coating, & Decorating Workers"
51-9124.00,"Coating, Painting, and Spraying Machine Setters, Operators, and Tenders","Coating, Painting, and Spraying Machine Setters, Operators, and Tender"
51-9124.00,"Coating, Painting, and Spraying Machine Setters, Operators, and Tenders","Coating, Painting, & Spraying Machine Setters, Operators, & Tenders"
51-9141.00,Semiconductor Processing Technicians,Semiconductor Processing Technician
51-9141.00,Semiconductor Processing Technicians,Semiconductor Processing
51-9151.00,Photographic Process Workers and Processing Machine Operators,Photographic Process Workers and Processing Machine Operator
51-9151.00,Photographic Process Workers and Processing Machine Operators,Photographic Process Workers & Processing Machine Operators
51-9161.00,Computer Numerically Controlled Tool Operators,Computer Numerically Controlled Tool Operator
51-9162.00,Computer Numerically Controlled Tool Programmers,Computer Numerically Controlled Tool Programmer
51-9191.00,Adhesive Bonding Machine Operators and Tenders,Adhesive Bonding Machine Operators and Tender
51-9191.00,Adhesive Bonding Machine Operators and Tenders,Adhesive Bonding Machine Operators & Tenders
51-9192.00,"Cleaning, Washing, and Metal Pickling Equipment Operators and Tenders","Cleaning, Washing, and Metal Pickling Equipment Operators and Tender"
51-9192.00,"Cleaning, Washing, and Metal Pickling Equipment Operators and Tenders","Cleaning, Washing, & Metal Pickling Equipment Operators & Tenders"
51-9193.00,Cooling and Freezing Equipment Operators and Tenders,Cooling & Freezing Equipment Operators & Tenders
51-9193.00,Cooling and Freezing Equipment Operators and Tenders,Cooling and Freezing Equipment Operators and Tender
51-9194.00,Etchers and Engravers,Etchers and Engraver
51-9194.00,Etchers and Engravers,Etchers & Engravers
51-9195.00,"Molders, Shapers, and Casters, Except Metal and Plastic","Molders, Shapers, & Casters, Except Metal & Plastic"
51-9195.03,"Stone Cutters and Carvers, Manufacturing","Stone Cutters & Carvers, Manufacturing"
51-9195.04,"Glass Blowers, Molders, Benders, and Finishers","Glass Blowers, Molders, Benders, and Finisher"
51-9195.04,"Glass Blowers, Molders, Benders, and Finishers","Glass Blowers, Molders, Benders, & Finishers"
51-9196.00,"Paper Goods Machine Setters, Operators, and Tenders","Paper Goods Machine Setters, Operators, and Tender"
51-9196.00,"Paper Goods Machine Setters, Operators, and Tenders","Paper Goods Machine Setters, Operators, & Tenders"
51-9197.00,Tire Builders,Tire Builder
51-9198.00,Helpers--Production Workers,Helpers--Production Worker
53-1041.00,Aircraft Cargo Handling Supervisors,Aircraft Cargo Handling Supervisor
53-1042.00,"First-Line Supervisors of Helpers, Laborers, and Material Movers, Hand","First-Line Supervisors of Helpers, Laborers, & Material Movers, Hand"
53-1042.01,Recycling Coordinators,Recycling Coordinator
53-1043.00,First-Line Supervisors of Material-Moving Machine and Vehicle Operators,First-Line Supervisors of Material-Moving Machine & Vehicle Operators
53-1043.00,First-Line Supervisors of Material-Moving Machine and Vehicle Operators,First-Line Supervisors of Material-Moving Machine and Vehicle Operator
53-1044.00,First-Line Supervisors of Passenger Attendants,First-Line Supervisors of Passenger Attendant
53-2011.00,"Airline Pilots, Copilots, and Flight Engineers","Airline Pilots, Copilots, & Flight Engineers"
53-2011.00,"Airline Pilots, Copilots, and Flight Engineers","Airline Pilots, Copilots, and Flight Engineer"
53-2012.00,Commercial Pilots,Commercial Pilot
53-2021.00,Air Traffic Controllers,Air Traffic Controller
53-2022.00,Airfield Operations Specialists,Airfield Operations
53-2022.00,Airfield Operations Specialists,Airfield Operations Specialist
53-2031.00,Flight Attendants,Flight Attendant
53-3011.00,"Ambulance Drivers and Attendants, Except Emergency Medical Technicians","Ambulance Drivers & Attendants, Except Emergency Medical Technicians"
53-3011.00,"Ambulance Drivers and Attendants, Except Emergency Medical Technicians","Ambulance Drivers and Attendants, Except Emergency Medical Technician"
53-3011.00,"Ambulance Drivers and Attendants, Except Emergency Medical Technicians","Ambulance Drivers and Attendants, Except Emergency Medical"
53-3031.00,Driver/Sales Workers,Driver/Sales Worker
53-3032.00,Heavy and Tractor-Trailer Truck Drivers,Heavy and Tractor-Trailer Truck Driver
53-3032.00,Heavy and Tractor-Trailer Truck Drivers,Heavy & Tractor-Trailer Truck Drivers
53-3033.00,Light Truck Drivers,Light Truck Driver
53-3052.00,"Bus Drivers, Transit and Intercity","Bus Drivers, Transit & Intercity"
53-3053.00,Shuttle Drivers and Chauffeurs,Shuttle Drivers and Chauffeur
53-3053.00,Shuttle Drivers and Chauffeurs,Shuttle Drivers & Chauffeurs
53-3054.00,Taxi Drivers,Taxi Driver
53-4011.00,Locomotive Engineers,Locomotive Engineer
53-4013.00,"Rail Yard Engineers, Dinkey Operators, and Hostlers","Rail Yard Engineers, Dinkey Operators, and Hostler"
53-4013.00,"Rail Yard Engineers, Dinkey Operators, and Hostlers","Rail Yard Engineers, Dinkey Operators, & Hostlers"
53-4022.00,"Railroad Brake, Signal, and Switch Operators and Locomotive Firers","Railroad Brake, Signal, and Switch Operators and Locomotive Firer"
53-4022.00,"Railroad Brake, Signal, and Switch Operators and Locomotive Firers","Railroad Brake, Signal, & Switch Operators & Locomotive Firers"
53-4031.00,Railroad Conductors and Yardmasters,Railroad Conductors & Yardmasters
53-4031.00,Railroad Conductors and Yardmasters,Railroad Conductors and Yardmaster
53-4041.00,Subway and Streetcar Operators,Subway & Streetcar Operators
53-4041.00,Subway and Streetcar Operators,Subway and Streetcar Operator
53-5011.00,Sailors and Marine Oilers,Sailors & Marine Oilers
53-5011.00,Sailors and Marine Oilers,Sailors and Marine Oiler
53-5021.00,"Captains, Mates, and Pilots of Water Vessels","Captains, Mates, & Pilots of Water Vessels"
53-5021.00,"Captains, Mates, and Pilots of Water Vessels","Captains, Mates, and Pilots of Water Vessel"
53-5022.00,Motorboat Operators,Motorboat Operator
53-5031.00,Ship Engineers,Ship Engineer
53-6011.00,Bridge and Lock Tenders,Bridge and Lock Tender
53-6011.00,Bridge and Lock Tenders,Bridge & Lock Tenders
53-6021.00,Parking Attendants,Parking Attendant
53-6031.00,Automotive and Watercraft Service Attendants,Automotive and Watercraft Service Attendant
53-6031.00,Automotive and Watercraft Service Attendants,Automotive & Watercraft Service Attendants
53-6032.00,Aircraft Service Attendants,Aircraft Service Attendant
53-6041.00,Traffic Technicians,Traffic Technician
53-6041.00,Traffic Technicians,Traffic
53-6051.00,Transportation Inspectors,Transportation Inspector
53-6051.01,Aviation Inspectors,Aviation Inspector
53-6051.07,"Transportation Vehicle, Equipment and Systems Inspectors, Except Aviation","Transportation Vehicle, Equipment & Systems Inspectors, Except Aviation"
53-6061.00,Passenger Attendants,Passenger Attendant
53-7011.00,Conveyor Operators and Tenders,Conveyor Operators & Tenders
53-7011.00,Conveyor Operators and Tenders,Conveyor Operators and Tender
53-7021.00,Crane and Tower Operators,Crane and Tower Operator
53-7021.00,Crane and Tower Operators,Crane & Tower Operators
53-7031.00,Dredge Operators,Dredge Operator
53-7041.00,Hoist and Winch Operators,Hoist and Winch Operator
53-7041.00,Hoist and Winch Operators,Hoist & Winch Operators
53-7051.00,Industrial Truck and Tractor Operators,Industrial Truck and Tractor Operator
53-7051.00,Industrial Truck and Tractor Operators,Industrial Truck & Tractor Operators
53-7061.00,Cleaners of Vehicles and Equipment,Cleaners of Vehicles & Equipment
53-7062.00,"Laborers and Freight, Stock, and Material Movers, Hand","Laborers & Freight, Stock, & Material Movers, Hand"
53-7062.04,Recycling and Reclamation Workers,Recycling & Reclamation Workers
53-7062.04,Recycling and Reclamation Workers,Recycling and Reclamation Worker
53-7063.00,Machine Feeders and Offbearers,Machine Feeders & Offbearers
53-7063.00,Machine Feeders and Offbearers,Machine Feeders and Offbearer
53-7064.00,"Packers and Packagers, Hand","Packers & Packagers, Hand"
53-7065.00,Stockers and Order Fillers,Stockers and Order Filler
53-7065.00,Stockers and Order Fillers,Stockers & Order Fillers
53-7071.00,Gas Compressor and Gas Pumping Station Operators,Gas Compressor & Gas Pumping Station Operators
53-7071.00,Gas Compressor and Gas Pumping Station Operators,Gas Compressor and Gas Pumping Station Operator
53-7072.00,"Pump Operators, Except Wellhead Pumpers","Pump Operators, Except Wellhead Pumper"
53-7073.00,Wellhead Pumpers,Wellhead Pumper
53-7081.00,Refuse and Recyclable Material Collectors,Refuse and Recyclable Material Collector
53-7081.00,Refuse and Recyclable Material Collectors,Refuse & Recyclable Material Collectors
53-7121.00,"Tank Car, Truck, and Ship Loaders","Tank Car, Truck, & Ship Loaders"
53-7121.00,"Tank Car, Truck, and Ship Loaders","Tank Car, Truck, and Ship Loader"
55-1011.00,Air Crew Officers,Air Crew Officer
55-1011.00,Air Crew Officers,Air Crew
55-1012.00,Aircraft Launch and Recovery Officers,Aircraft Launch and Recovery Officer
55-1012.00,Aircraft Launch and Recovery Officers,Aircraft Launch & Recovery Officers
55-1012.00,Aircraft Launch and Recovery Officers,Aircraft Launch and Recovery
55-1013.00,Armored Assault Vehicle Officers,Armored Assault Vehicle Officer
55-1013.00,Armored Assault Vehicle Officers,Armored Assault Vehicle
55-1014.00,Artillery and Missile Officers,Artillery & Missile Officers
55-1014.00,Artillery and Missile Officers,Artillery and Missile
55-1014.00,Artillery and Missile Officers,Artillery and Missile Officer
55-1015.00,Command and Control Center Officers,Command and Control Center
55-1015.00,Command and Control Center Officers,Command & Control Center Officers
55-1015.00,Command and Control Center Officers,Command and Control Center Officer
55-1016.00,Infantry Officers,Infantry
55-1016.00,Infantry Officers,Infantry Officer
55-1017.00,Special Forces Officers,Special Forces
55-1017.00,Special Forces Officers,Special Forces Officer
55-1019.00,"Military Officer Special and Tactical Operations Leaders, All Other","Military Officer Special & Tactical Operations Leaders, All Other"
55-2011.00,First-Line Supervisors of Air Crew Members,First-Line Supervisors of Air Crew Member
55-2012.00,First-Line Supervisors of Weapons Specialists/Crew Members,First-Line Supervisors of Weapons Specialists/Crew Member
