O*NET-SOC Code,Title,Conflict Situations,Contact With Others,Coordinate or Lead Others in Accomplishing Work Activities,Deal With External Customers or the Public in General,"Dealing With Unpleasant, Angry, or Discourteous People",Dealing with Violent or Physically Aggressive People,Face-to-Face Discussions with Individuals and Within Teams,Public Speaking,Work With or Contribute to a Work Group or Team,"Communicating with Supervisors, Peers, or Subordinates Combined",Instructing Combined,Performing for or Working Directly with the Public Combined,Negotiation Combined,Coaching and Developing Others Combined,Training and Teaching Others Combined,Resolving Conflicts and Negotiating with Others Combined,Social Perceptiveness Combined,Developing and Building Teams Combined,Communicating with People Outside the Organization Combined,Service Orientation Combined,Persuasion Combined
33-2022.00,Forest Fire Inspectors and Prevention Specialists,3.33,4.79,4.4,4.36,3.47,2.22,4.87,3.21,4.86,3.530742857142857,1.9642857142857144,3.230857142857143,1.7734857142857143,2.805,2.8395,2.550628571428572,1.822857142857143,2.8838285714285714,2.9230285714285715,1.8057142857142856,1.8914285714285717
33-3011.00,Bailiffs,3.4,4.62,3.68,4.4,3.97,3.02,4.37,2.66,4.42,3.249,1.3785714285714286,3.1842,1.6875,2.7,2.2556714285714285,3.6325,2.4485714285714284,1.9318857142857144,2.769271428571429,1.6714285714285717,1.7734857142857143
33-3012.00,Correctional Officers and Jailers,4.37,4.67,3.88,4.17,4.75,4.33,4.93,3.27,4.57,3.0635714285714286,1.822857142857143,1.9984,1.9642857142857144,2.7664,2.7506285714285714,3.2332428571428573,2.607142857142857,2.4135,2.3668,1.8571428571428568,2.02
33-3021.00,Detectives and Criminal Investigators,4.17,4.82,4.31,4.86,4.12,3.42,4.83,2.46,4.51,3.490657142857143,1.837942857142857,3.5456000000000003,1.822857142857143,2.1997,2.412185714285714,3.325,2.596342857142857,2.141928571428571,3.648057142857143,2.1142857142857143,1.9085714285714288
33-3021.02,Police Identification and Records Officers,2.67,3.66,3.26,3.45,3.19,2.34,4.37,2.16,3.93,3.1748857142857143,1.8057142857142856,2.2667,1.6428571428571428,2.0944571428571432,2.3933714285714287,2.2255714285714285,1.8571428571428568,1.6786,2.376857142857143,1.75,1.75
33-3021.06,Intelligence Analysts,2.35,4.35,3.52,3.17,2.05,1.39,4.52,2.61,4.59,3.9177142857142857,1.8914285714285717,1.1628,1.8571428571428568,2.416714285714286,2.0788,1.9163,1.8914285714285717,2.1877857142857144,3.2759571428571426,1.7734857142857143,1.8914285714285717
33-3031.00,Fish and Game Wardens,3.94,4.67,4.0,4.84,3.79,2.56,4.68,2.93,4.06,3.469785714285714,1.8914285714285717,3.4264,1.7734857142857143,2.057142857142857,2.3003857142857145,3.0466285714285712,2.19,1.8452857142857144,3.910857142857143,1.9449142857142856,2.1492
33-3041.00,Parking Enforcement Workers,3.73,3.92,3.16,4.45,4.47,2.76,4.09,1.58,4.11,3.540285714285715,1.7385714285714284,2.793014285714286,1.5300000000000002,1.9225,2.7990714285714287,2.534885714285714,1.872228571428572,1.7693714285714286,2.9530000000000003,1.822857142857143,1.5300000000000002
33-3051.00,Police and Sheriff's Patrol Officers,4.43,4.76,4.08,4.85,4.64,3.98,4.77,2.49,4.58,3.4438714285714283,1.9842857142857144,4.172185714285714,2.1492,2.423285714285714,3.019428571428572,4.109014285714284,2.645714285714285,2.5504,3.4143428571428567,2.25,2.4035714285714285
33-3051.04,Customs and Border Protection Officers,3.82,4.83,3.95,4.8,4.33,2.97,4.63,2.45,4.58,3.6197142857142857,1.75,3.5231285714285714,1.8571428571428568,2.2369000000000003,2.3208571428571423,2.4171714285714283,2.3906285714285715,1.9955714285714288,2.7405142857142857,1.8571428571428568,1.9449142857142856
33-3052.00,Transit and Railroad Police,4.21,4.7,4.33,4.71,4.11,3.64,4.29,2.66,4.1,3.214857142857143,1.8571428571428568,3.665000000000001,1.9449142857142856,2.4593857142857143,2.2698285714285715,3.5696,2.105,1.7128,2.6738714285714287,1.9085714285714288,1.9657142857142855
33-9011.00,Animal Control Workers,4.35,4.58,3.27,4.77,4.64,3.0,4.96,2.69,4.0,3.330485714285714,1.6063428571428573,3.639485714285714,1.655,2.3562857142857143,2.6068,3.2528,1.8571428571428568,2.233942857142857,3.624657142857143,1.8571428571428568,1.8057142857142856
33-9021.00,Private Detectives and Investigators,2.82,4.33,3.09,4.19,3.02,1.69,4.16,2.0,3.31,2.9522285714285714,1.4017857142857142,2.1195142857142857,1.7734857142857143,1.6306857142857143,1.7097142857142855,2.075657142857142,2.25,1.4668571428571429,3.0203857142857147,1.822857142857143,1.8057142857142856
33-9031.00,Gambling Surveillance Officers and Gambling Investigators,3.87,4.65,3.75,3.32,2.97,2.24,4.7,1.76,4.46,3.848657142857143,1.8571428571428568,1.2933571428571429,1.4691999999999998,2.286057142857143,2.467857142857143,1.9164571428571429,1.872228571428572,1.6762285714285712,2.0914,1.5508,1.51
33-9032.00,Security Guards,4.04,4.89,3.5,4.91,3.28,2.35,4.42,1.96,4.21,3.361685714285714,1.4017857142857142,3.1953142857142853,1.5508,2.4535714285714287,3.101371428571429,3.0962857142857145,1.8914285714285717,2.3986857142857145,2.860571428571429,1.7036571428571428,1.8057142857142856
33-9091.00,Crossing Guards and Flaggers,2.53,4.1,2.32,4.46,3.29,1.46,3.72,1.18,3.33,2.037042857142857,1.1885714285714286,2.087542857142857,1.2208,1.4916571428571428,1.4557142857142855,1.8844,1.7142857142857144,1.3043,1.6287142857142856,1.655,1.28
33-9092.00,"Lifeguards, Ski Patrol, and Other Recreational Protective Service Workers",2.98,4.5,3.21,3.94,3.42,1.43,4.55,2.4,4.59,2.6154571428571427,1.625,2.771428571428572,1.2857142857142856,2.390357142857143,2.4498571428571427,2.0178857142857143,2.105,2.146057142857143,2.0998,2.0028571428571427,1.5357142857142858
33-9093.00,Transportation Security Screeners,3.74,4.54,3.07,4.22,4.63,2.78,4.41,2.59,4.58,2.7077714285714287,1.7734857142857143,2.855714285714286,1.5785714285714287,2.1882714285714284,2.2276,2.0278714285714283,1.9642857142857144,1.961557142857143,1.6309142857142858,1.7857142857142856,1.8571428571428568
33-9099.02,Retail Loss Prevention Specialists,3.63,4.76,3.56,4.25,3.74,3.21,4.56,3.0,4.76,3.5488,1.8057142857142856,1.7576142857142858,1.655,2.0902857142857143,2.4532571428571432,2.3587857142857143,2.0608,2.179742857142857,1.991342857142857,1.7385714285714284,1.7200000000000002
35-1011.00,Chefs and Head Cooks,3.75,4.58,3.88,3.79,3.88,2.04,4.87,3.21,4.46,2.7258142857142857,2.31,2.3294,2.1357142857142857,3.132614285714286,2.922714285714285,2.7576285714285715,2.5428571428571427,2.7197714285714287,2.0828571428571427,2.327857142857143,2.0342857142857143
35-1012.00,First-Line Supervisors of Food Preparation and Serving Workers,3.16,4.58,3.92,4.1,3.46,1.98,3.85,3.58,4.43,2.636228571428572,2.225714285714286,2.8144,1.9449142857142856,2.853357142857143,2.6562142857142863,2.663428571428571,2.096342857142857,2.5542857142857143,2.2678857142857143,2.354914285714286,1.8914285714285717
35-2011.00,"Cooks, Fast Food",2.94,3.27,3.16,3.54,3.68,2.27,4.93,3.41,3.87,1.8485714285714288,1.32,1.5904,1.3392000000000002,1.6119999999999997,1.7009714285714286,1.6058285714285714,1.655,1.5491714285714286,1.4557000000000002,1.605714285714286,1.3785714285714286
35-2012.00,"Cooks, Institution and Cafeteria",2.81,4.62,3.73,3.21,3.31,1.54,4.8,1.79,4.47,2.478485714285714,1.6875,1.5970857142857144,1.4285714285714286,1.8619142857142856,1.9794571428571428,1.940742857142857,1.7734857142857143,1.5893571428571427,1.4720428571428572,1.9085714285714288,1.5785714285714287
35-2013.00,"Cooks, Private Household",2.19,3.62,2.04,2.96,1.88,1.04,3.62,1.88,2.42,1.5882,1.2208,1.954,1.36,1.5935714285714284,1.608142857142857,1.6321428571428571,1.8571428571428568,1.2565428571428572,2.011428571428572,2.06,1.7200000000000002
35-2014.00,"Cooks, Restaurant",2.48,4.11,3.63,2.67,2.59,1.19,3.42,1.34,4.08,1.506057142857143,1.2857142857142856,1.2305285714285714,1.3392000000000002,1.3203571428571428,1.4822142857142857,1.1988571428571428,1.5614285714285714,1.216,1.090857142857143,1.4179428571428572,1.28
35-2015.00,"Cooks, Short Order",2.0,3.66,3.52,2.42,2.35,1.11,4.66,1.38,3.92,1.8774,1.4435714285714285,1.6705285714285714,1.3571428571428572,1.3582857142857143,1.4849714285714286,1.3081857142857145,1.5785714285714287,1.4186285714285716,1.1634142857142855,1.7857142857142856,1.3785714285714286
35-2021.00,Food Preparation Workers,1.65,4.18,3.61,2.27,1.94,1.28,4.1,1.78,3.89,1.7683999999999995,1.2857142857142856,1.4610571428571428,1.2036571428571428,1.822085714285714,1.6348571428571428,1.2383428571428572,1.4906285714285716,1.5487857142857142,1.080128571428571,1.5714285714285714,1.25
35-3011.00,Bartenders,2.89,4.7,3.21,4.25,3.93,2.31,4.2,1.69,3.64,2.010228571428572,1.8571428571428568,2.868314285714286,1.7734857142857143,2.148357142857143,2.2996,2.0435857142857143,1.9642857142857144,1.8331428571428567,1.9085714285714288,2.1677714285714287,1.9085714285714288
35-3023.00,Fast Food and Counter Workers,3.23,4.89,3.64,4.43,4.41,2.66,4.36,2.35,4.71,1.8787428571428573,1.2857142857142856,2.176,1.2036571428571428,1.3232142857142857,1.614428571428571,1.8328857142857145,1.5714285714285714,1.4145142857142858,1.1723428571428571,1.7857142857142856,1.2857142857142856
35-3023.01,Baristas,3.17,4.67,3.22,4.34,3.86,1.58,4.28,2.47,4.11,2.530914285714285,1.4464285714285716,3.1375428571428574,1.5357142857142858,1.6591,2.064,1.957642857142857,1.7934857142857146,1.457542857142857,2.032,1.9792,1.625
35-3031.00,Waiters and Waitresses,2.65,4.82,3.91,3.46,3.12,1.23,4.52,2.83,4.46,2.422285714285714,1.3008,2.8580714285714284,1.32,1.4269571428571428,1.3712285714285717,1.8207,1.85,1.5824,1.3297857142857143,2.2342857142857144,1.595
35-3041.00,"Food Servers, Nonrestaurant",2.9,4.31,3.92,3.66,3.83,1.97,4.68,2.45,4.36,2.591285714285714,1.3008,3.030571428571428,1.2208,2.0702714285714285,2.08,1.9881857142857144,1.7036571428571428,1.6153857142857144,2.0260714285714285,1.605714285714286,1.32
35-9011.00,Dining Room and Cafeteria Attendants and Bartender Helpers,2.96,4.76,2.78,3.94,3.57,1.52,4.46,2.71,4.62,2.753814285714286,1.268571428571429,2.3728,1.25,1.787142857142857,1.8824285714285716,1.8626,1.537142857142857,1.8215,1.4619285714285717,1.605714285714286,1.268571428571429
35-9021.00,Dishwashers,2.09,3.85,3.38,2.3,1.54,1.28,4.39,1.96,3.77,1.6994285714285713,1.1428571428571428,1.2833714285714286,1.1885714285714286,1.548657142857143,1.6771857142857145,1.3935428571428572,1.4285714285714286,1.3584571428571428,1.1723142857142856,1.32,1.2036571428571428
35-9031.00,"Hosts and Hostesses, Restaurant, Lounge, and Coffee Shop",2.97,4.81,3.61,3.93,3.6,1.4,4.72,2.1,4.66,1.8401,1.394285714285714,2.267714285714286,1.5785714285714287,1.7927142857142857,1.6422571428571429,2.2126,1.822857142857143,1.501,1.8967,1.9085714285714288,1.6063428571428573
37-1011.00,First-Line Supervisors of Housekeeping and Janitorial Workers,3.19,4.45,4.07,3.08,2.41,1.65,4.81,3.0,4.62,3.4495,1.9449142857142856,2.5486714285714287,1.8571428571428568,2.7864,3.0274,2.513114285714286,2.023657142857143,2.6244571428571426,1.4902857142857142,1.9449142857142856,1.837942857142857
37-1012.00,"First-Line Supervisors of Landscaping, Lawn Service, and Groundskeeping Workers",3.51,4.57,4.53,4.1,3.29,1.79,4.78,1.91,4.65,3.172228571428572,1.9642857142857144,2.549542857142857,1.8057142857142856,2.9393,2.647685714285714,2.539285714285714,2.1635714285714283,2.6632,2.323771428571429,1.9449142857142856,1.9085714285714288
37-2011.00,"Janitors and Cleaners, Except Maids and Housekeeping Cleaners",1.98,3.71,3.02,2.22,2.7,1.79,4.4,1.54,3.15,2.6965000000000003,1.2208,1.6656,1.268571428571429,1.635142857142857,1.925814285714286,1.7185857142857144,1.4906285714285716,1.9396,1.3443142857142858,1.4821428571428572,1.32
37-2012.00,Maids and Housekeeping Cleaners,2.06,3.76,2.9,3.29,2.97,1.44,4.41,1.5,3.91,1.792,1.3392000000000002,1.9471,1.3392000000000002,1.3697857142857142,1.4140714285714284,1.4843428571428572,1.5693714285714286,1.4101714285714286,1.3186857142857142,1.7934857142857146,1.3392000000000002
37-2021.00,Pest Control Workers,2.72,4.38,2.48,4.0,2.89,1.52,4.7,1.56,3.17,2.7528571428571427,1.7734857142857143,2.6431714285714287,1.872228571428572,1.5092714285714286,1.6948,1.887142857142857,1.9792,1.5475,2.5908,1.9642857142857144,1.9085714285714288
37-3011.00,Landscaping and Groundskeeping Workers,3.2,3.19,2.89,2.26,3.3,1.77,3.98,1.29,3.98,1.6692571428571428,1.25,1.3492,1.1734857142857142,1.859057142857143,1.605785714285714,1.2586285714285714,1.4285714285714286,1.6035714285714286,1.0814857142857144,1.4542857142857144,1.231428571428571
37-3012.00,"Pesticide Handlers, Sprayers, and Applicators, Vegetation",2.77,3.62,3.58,3.99,3.04,1.51,4.23,2.0,3.6,2.52,1.4179428571428572,2.9565,1.345,1.8617142857142857,2.0622857142857143,2.1087857142857143,1.7142857142857144,1.6059714285714286,2.4045,1.4821428571428572,1.4691999999999998
37-3013.00,Tree Trimmers and Pruners,2.52,4.22,3.04,3.43,2.38,1.56,4.72,1.46,4.23,2.2393,1.8571428571428568,1.5916,1.3571428571428572,1.7762714285714285,2.097657142857143,1.5981428571428573,1.5785714285714287,1.3529714285714285,1.4669714285714286,1.6714285714285717,1.4179428571428572
39-1013.00,First-Line Supervisors of Gambling Services Workers,4.28,4.85,3.78,4.9,4.4,2.48,4.42,2.12,4.73,2.482,2.086428571428572,3.537228571428571,1.9449142857142856,2.1914571428571428,1.8142857142857145,2.382485714285714,2.25,1.8688857142857145,1.5436,2.44,1.8914285714285717
39-1022.00,First-Line Supervisors of Personal Service Workers,3.64,5.0,4.7,4.0,3.77,1.75,4.53,2.39,4.83,3.4217142857142857,1.9642857142857144,2.068342857142857,1.8571428571428568,2.377042857142857,2.3588714285714287,2.3690285714285717,2.524285714285714,1.876,2.152957142857143,2.1228571428571428,2.071428571428572
39-2011.00,Animal Trainers,2.97,4.23,3.73,3.9,2.71,1.5,4.52,2.87,3.62,2.819928571428572,2.225714285714286,3.016114285714286,1.4821428571428572,2.299428571428572,3.008457142857143,2.1978285714285715,1.8571428571428568,1.7113428571428573,2.8117857142857146,1.8571428571428568,1.7734857142857143
39-2021.00,Animal Caretakers,3.21,4.76,3.36,3.62,3.23,1.37,4.88,2.28,4.56,2.7572,1.32,2.213714285714285,1.231428571428571,1.5724,1.8316,1.822857142857143,1.5625,1.5115857142857143,2.0496,1.822857142857143,1.22
39-3011.00,Gambling Dealers,3.1,4.62,3.2,4.41,4.33,2.16,4.53,2.76,4.39,2.1664000000000003,1.6063428571428573,2.646071428571429,1.4435714285714285,1.5623714285714287,1.510857142857143,1.6131571428571427,1.8328571428571427,1.3983571428571429,1.6279,1.872228571428572,1.5508
39-3012.00,Gambling and Sports Book Writers and Runners,2.45,4.62,3.15,4.14,3.34,1.41,4.21,2.82,4.44,2.3986,1.4017857142857142,3.2241142857142857,1.3571428571428572,1.5519571428571428,1.9147714285714288,1.725485714285714,1.822857142857143,1.4485714285714284,2.035,1.7036571428571428,1.5357142857142858
39-3021.00,Motion Picture Projectionists,2.55,3.52,2.56,2.87,2.47,1.13,4.33,1.53,3.46,2.393885714285714,1.268571428571429,1.9122142857142856,1.2857142857142856,1.4031714285714283,1.7379571428571428,1.3651428571428572,1.604285714285714,1.1436714285714285,1.3693428571428572,1.5357142857142858,1.32
39-3031.00,"Ushers, Lobby Attendants, and Ticket Takers",3.32,4.86,3.14,4.54,3.93,2.61,4.69,1.97,3.95,1.7874,1.0992,2.626228571428572,1.604285714285714,1.4914,1.637,1.8470142857142855,2.02,1.4665142857142857,1.7228571428571429,1.9642857142857144,1.6714285714285717
39-3091.00,Amusement and Recreation Attendants,2.82,4.94,3.64,4.85,3.48,1.61,4.99,3.47,4.18,2.210628571428572,1.32,3.370642857142857,1.302857142857143,1.718557142857143,1.9059142857142857,1.7603142857142855,1.68,1.6121285714285714,1.7739714285714283,1.8328571428571427,1.4928571428571429
39-3092.00,Costume Attendants,2.59,4.47,3.82,2.75,2.42,1.29,4.73,1.76,4.83,2.640571428571429,1.4285714285714286,1.09,1.595,1.6835714285714285,1.648685714285714,1.9192857142857145,1.8571428571428568,1.6954571428571428,1.194071428571429,1.7385714285714284,1.595
39-3093.00,"Locker Room, Coatroom, and Dressing Room Attendants",2.76,4.73,3.06,4.42,3.46,1.39,4.43,1.19,3.95,1.6647142857142858,1.231428571428571,2.7058857142857144,1.4285714285714286,1.2562285714285717,1.2651428571428571,1.6496,1.7934857142857146,1.283957142857143,1.4359142857142857,1.935714285714286,1.4017857142857142
39-4011.00,Embalmers,4.02,4.56,4.39,4.62,3.38,1.67,4.97,3.39,4.14,2.647685714285714,1.6063428571428573,2.777285714285714,1.5165142857142857,1.5742857142857145,1.7592,1.8245142857142855,2.1750857142857143,1.5333142857142856,2.8321428571428573,1.9085714285714288,1.3785714285714286
39-4021.00,Funeral Attendants,2.02,4.21,3.21,4.0,2.2,1.31,4.53,2.2,4.22,2.776342857142857,1.2142857142857144,3.206757142857143,1.1885714285714286,1.4831857142857143,1.5635,1.4500000000000002,2.044642857142857,1.7148857142857143,2.1454,2.0028571428571427,1.2857142857142856
39-4031.00,"Morticians, Undertakers, and Funeral Arrangers",2.85,4.73,3.85,4.56,2.89,1.65,4.78,2.9,4.25,3.3643,1.8571428571428568,3.809671428571429,2.06,1.8489714285714285,1.7258285714285715,2.902857142857143,2.9522285714285714,2.025828571428572,3.017428571428572,2.645714285714285,2.06
39-5011.00,Barbers,2.24,4.81,2.94,3.37,2.56,1.68,4.29,2.28,3.23,1.360642857142857,1.0664285714285715,3.768228571428572,1.2142857142857144,1.1878857142857142,1.2252571428571428,1.664857142857143,1.872228571428572,1.3503142857142858,2.0329428571428574,1.9085714285714288,1.3571428571428572
39-5012.00,"Hairdressers, Hairstylists, and Cosmetologists",2.64,4.82,3.42,4.48,2.71,1.07,4.83,1.85,3.91,2.2206,1.8057142857142856,3.3777571428571425,1.595,2.0388,2.2446,2.3811142857142857,1.9449142857142856,1.968457142857143,2.492114285714286,2.216428571428572,1.7385714285714284
39-5091.00,"Makeup Artists, Theatrical and Performance",2.48,4.62,3.19,3.05,2.67,1.33,4.86,1.95,4.57,3.2295,1.6364285714285711,1.8609142857142855,1.4435714285714285,1.975,2.162928571428572,2.445,1.8571428571428568,2.178571428571429,1.9517857142857145,1.8571428571428568,1.7385714285714284
39-5092.00,Manicurists and Pedicurists,1.44,4.5,2.88,2.4,1.95,1.18,3.84,1.11,3.47,1.3285714285714287,1.32,2.155,1.4542857142857144,1.385557142857143,1.2652,1.7235999999999998,1.7485714285714289,1.125357142857143,1.2712,1.7485714285714289,1.4906285714285716
39-5093.00,Shampooers,1.9,4.92,3.38,4.03,2.89,1.24,4.54,1.38,4.45,2.359285714285714,1.32,2.537,1.289285714285714,1.6336,1.8034285714285716,1.875114285714286,1.655,1.4641000000000002,1.7029999999999998,1.7857142857142856,1.3193714285714284
39-5094.00,Skincare Specialists,2.45,4.99,3.3,4.58,2.41,1.25,5.0,1.71,3.9,2.7231428571428573,1.7036571428571428,2.6140714285714286,1.5508,2.317857142857143,2.353142857142857,2.1399142857142857,1.9085714285714288,2.3579,2.107428571428572,2.31,1.625
39-6011.00,Baggage Porters and Bellhops,2.98,4.41,3.27,4.35,3.64,1.67,4.15,1.55,4.28,2.6944285714285714,1.5357142857142858,3.728457142857143,1.3785714285714286,2.186142857142857,2.139685714285714,2.095757142857143,1.6391999999999998,2.1090142857142857,2.544,2.178571428571429,1.3785714285714286
39-6012.00,Concierges,3.14,4.73,3.5,4.27,3.27,1.82,4.82,2.91,4.0,2.9175000000000004,1.2857142857142856,3.0988,1.7200000000000002,2.3257142857142856,2.2206,2.222557142857143,2.2857142857142856,1.927042857142857,3.021571428571429,2.7142857142857144,1.8571428571428568
39-7011.00,Tour Guides and Escorts,2.3,4.45,3.99,4.37,2.34,1.4,4.49,4.49,4.21,2.373628571428571,1.4435714285714285,3.2701,1.32,1.5391428571428571,1.9183571428571429,1.3320142857142858,1.9642857142857144,1.3156857142857143,2.761428571428572,1.872228571428572,1.4906285714285716
39-7012.00,Travel Guides,2.76,4.81,4.16,4.34,2.96,1.61,4.41,2.87,4.38,2.145057142857143,1.75,3.7356857142857143,2.023657142857143,1.6314285714285717,2.331542857142857,2.6011285714285712,2.337142857142857,1.9057142857142857,3.770742857142857,2.729371428571429,2.327857142857143
39-9011.00,Childcare Workers,3.42,4.76,3.61,3.39,2.93,2.22,4.55,2.09,4.46,2.1256,1.822857142857143,1.8854714285714285,1.655,1.5816571428571429,1.771,2.109742857142857,2.044642857142857,1.785685714285714,1.6521285714285714,2.105,1.7734857142857143
39-9011.01,Nannies,3.16,4.38,2.96,1.96,2.92,1.76,4.67,1.08,3.24,2.4016,1.9642857142857144,1.1088,1.8571428571428568,2.0845714285714285,2.059542857142857,2.402971428571429,2.5428571428571427,1.312,1.294857142857143,2.375,2.1677714285714287
39-9031.00,Exercise Trainers and Group Fitness Instructors,2.67,4.76,3.71,4.38,2.95,1.45,4.76,3.67,3.52,2.3998428571428567,2.607142857142857,3.068142857142857,1.2857142857142856,2.711914285714286,2.817142857142857,1.762714285714286,1.9085714285714288,1.5983999999999998,1.504,2.2767857142857144,1.7734857142857143
39-9032.00,Recreation Workers,3.02,4.81,3.88,3.54,3.54,2.28,4.59,2.94,4.49,3.1294,2.327857142857143,2.6560571428571427,1.822857142857143,2.436914285714286,2.4556571428571425,2.8637714285714284,2.7142857142857144,2.6068571428571428,2.573457142857143,2.607142857142857,1.9449142857142856
39-9041.00,Residential Advisors,4.13,4.57,3.62,3.43,3.42,2.55,4.49,2.81,4.33,2.8943714285714286,1.8057142857142856,2.051514285714286,2.1228571428571428,2.3589714285714285,2.33,2.778142857142857,2.5,2.245342857142857,2.3695000000000004,2.1677714285714287,2.02
41-1011.00,First-Line Supervisors of Retail Sales Workers,3.55,4.85,4.38,4.55,3.59,1.37,4.95,1.95,4.76,2.7081142857142857,2.1635714285714283,3.024,2.1635714285714283,2.857857142857143,2.8893142857142857,2.8702428571428573,2.3392857142857144,2.3468,2.6325142857142856,2.4732142857142856,2.1635714285714283
41-1012.00,First-Line Supervisors of Non-Retail Sales Workers,3.51,4.7,4.56,4.23,3.14,1.25,4.91,3.45,4.66,3.6877,2.2857142857142856,1.8414285714285712,2.4035714285714285,3.297428571428572,2.788428571428572,2.693657142857143,2.645714285714285,2.616357142857143,2.5732,1.9449142857142856,2.524285714285714
41-2011.00,Cashiers,2.43,4.96,3.51,3.72,4.11,1.74,4.56,2.83,4.02,1.8003999999999998,1.394285714285714,2.4452857142857143,1.394285714285714,1.4004,1.4986142857142857,1.4073142857142855,1.7857142857142856,1.2719714285714283,1.6264,1.872228571428572,1.394285714285714
41-2012.00,Gambling Change Persons and Booth Cashiers,3.35,4.87,2.82,4.28,4.61,2.27,4.71,1.86,3.67,2.738657142857143,1.4179428571428572,3.117714285714286,1.4906285714285716,2.122,2.019857142857143,2.5772571428571425,1.605714285714286,1.7888,1.7426428571428572,1.822857142857143,1.5207142857142857
41-2021.00,Counter and Rental Clerks,3.8,4.91,3.53,4.43,4.03,1.63,5.0,1.66,4.52,2.3672571428571425,1.5614285714285714,3.1672,1.7734857142857143,1.8431285714285717,1.8323,2.0191,1.872228571428572,1.5375285714285716,2.0584285714285717,2.105,1.7734857142857143
41-2022.00,Parts Salespersons,3.72,5.0,3.96,4.84,3.99,1.97,4.24,1.91,4.88,2.9765,1.6714285714285717,3.324114285714286,1.8057142857142856,2.047714285714286,2.354285714285714,2.733485714285714,1.9792,2.1664,3.4137142857142857,2.1677714285714287,2.2767857142857144
41-2031.00,Retail Salespersons,3.08,4.89,3.61,4.6,3.88,1.55,4.88,1.98,4.35,2.1622142857142856,1.7385714285714284,3.5758,2.3392857142857144,1.4228,1.477942857142857,2.2355,2.1142857142857143,1.4858571428571428,1.6551999999999998,2.524285714285714,2.645714285714285
41-3011.00,Advertising Sales Agents,3.01,4.79,3.04,4.81,3.15,1.08,4.71,2.91,4.34,3.0860000000000003,1.4910714285714284,3.405785714285714,2.524285714285714,1.5427714285714282,1.4216,3.254142857142857,2.4893714285714283,1.641142857142857,3.991942857142857,2.5428571428571427,2.7142857142857144
41-3021.00,Insurance Sales Agents,3.45,4.73,3.26,4.97,3.14,1.13,4.93,2.22,3.67,2.1842571428571427,1.6665142857142858,2.363371428571429,2.086428571428572,1.3210285714285717,1.3662285714285716,1.9840285714285717,1.9085714285714288,1.5428000000000002,1.9964285714285717,2.19,2.4522285714285714
41-3031.00,"Securities, Commodities, and Financial Services Sales Agents",2.9,4.69,3.07,4.28,2.81,1.23,4.71,2.27,4.11,2.787357142857143,1.8728571428571428,2.2699,1.9285714285714288,1.742257142857143,1.6473571428571427,2.298757142857143,2.105,1.6239142857142856,2.843342857142857,2.1635714285714283,2.2928571428571427
41-3041.00,Travel Agents,3.07,4.45,3.19,4.43,2.6,1.31,4.05,1.54,3.43,2.489285714285714,1.6063428571428573,2.9560285714285714,1.9842857142857144,1.7197428571428572,1.8271428571428572,2.2826,2.225714285714286,1.233142857142857,2.8364857142857147,2.782857142857143,2.31
41-4011.00,"Sales Representatives, Wholesale and Manufacturing, Technical and Scientific Products",3.54,4.57,3.78,3.81,3.52,1.2,4.56,2.07,4.26,2.5012,1.837942857142857,1.2921857142857145,2.7142857142857144,1.251742857142857,1.328242857142857,2.1804,2.5428571428571427,1.3714285714285714,2.3615000000000004,2.327857142857143,2.8571428571428568
41-4011.07,Solar Sales Representatives and Assessors,2.43,4.95,3.86,4.94,2.33,1.33,3.78,1.75,4.57,2.644857142857143,1.8057142857142856,1.6917142857142855,2.1635714285714283,1.8452285714285712,2.0012857142857143,1.9343428571428567,2.1142857142857143,1.6886285714285716,2.6772857142857145,2.4035714285714285,2.4522285714285714
41-4012.00,"Sales Representatives, Wholesale and Manufacturing, Except Technical and Scientific Products",3.31,5.0,4.32,4.91,3.58,1.11,4.65,2.08,4.91,3.07,1.6875,2.514571428571428,2.524285714285714,1.6139428571428571,1.3642571428571428,2.6226000000000003,2.375,1.1853,2.3608,1.9449142857142856,2.571428571428571
41-9011.00,Demonstrators and Product Promoters,2.87,4.82,3.2,4.44,3.45,1.14,4.27,3.0,3.85,2.2685142857142857,1.5914285714285714,3.6286857142857145,1.5677714285714286,1.5505714285714287,1.8398285714285716,1.386742857142857,1.9285714285714288,1.7425714285714284,2.723585714285715,2.0028571428571427,2.3857142857142857
41-9012.00,Models,1.73,4.69,2.66,2.16,1.6,1.17,3.98,2.12,3.32,1.3955714285714285,1.0135714285714286,1.5425,1.25,1.0268714285714289,1.0726857142857142,1.1165714285714283,1.7036571428571428,1.0675,1.1110285714285717,1.2036571428571428,1.25
41-9021.00,Real Estate Brokers,3.14,4.69,3.9,4.46,3.2,1.24,4.78,2.76,4.26,2.480242857142857,1.4821428571428572,2.2834,2.4971428571428573,1.8848285714285715,1.7441285714285717,2.6517285714285714,2.0608,1.479942857142857,2.6142142857142856,2.044642857142857,2.4285714285714284
41-9022.00,Real Estate Sales Agents,3.29,4.95,3.84,3.86,3.21,1.62,4.72,2.67,3.63,3.0560714285714288,1.6942857142857144,3.153142857142857,2.596342857142857,2.276,2.1016000000000004,4.0295000000000005,2.4732142857142856,2.37,3.3807142857142853,2.3392857142857144,2.542057142857143
