O*NET-SOC Code,Title,Consequence of Error,Freedom to Make Decisions,Frequency of Decision Making,Health and Safety of Other Workers,Impact of Decisions on Co-workers or Company Results,Importance of Being Exact or Accurate,Evaluating Information to Determine Compliance with Standards Combined,Judgment and Decision Making Combined
31-9099.01,Speech-Language Pathology Assistants,2.45,3.28,3.72,3.6,3.52,4.3,2.2756857142857143,1.9449142857142856
31-9099.02,Endoscopy Technicians,3.92,3.65,4.12,4.19,3.54,4.5,2.845714285714286,1.822857142857143
33-1011.00,First-Line Supervisors of Correctional Officers,3.25,4.13,4.68,4.77,4.43,3.84,3.516114285714286,1.9842857142857144
33-1012.00,First-Line Supervisors of Police and Detectives,3.85,4.43,4.46,4.26,4.61,4.25,2.9175571428571425,2.524285714285714
33-1021.00,First-Line Supervisors of Firefighting and Prevention Workers,4.44,4.49,4.32,4.8,4.63,4.33,2.7639285714285715,2.265085714285714
33-1091.00,First-Line Supervisors of Security Workers,3.21,4.63,4.71,4.62,4.73,4.7,2.5944571428571432,2.283657142857143
33-2011.00,Firefighters,4.19,3.94,4.13,4.47,4.27,4.27,2.3357,2.265085714285714
33-2021.00,Fire Inspectors and Investigators,3.11,4.54,4.4,3.66,4.44,4.53,3.677028571428572,1.9085714285714288
33-2022.00,Forest Fire Inspectors and Prevention Specialists,3.79,4.56,4.32,4.5,4.87,4.05,2.3949714285714285,2.216428571428572
33-3011.00,Bailiffs,2.97,3.76,3.78,3.45,3.27,4.08,2.295857142857143,1.9642857142857144
33-3012.00,Correctional Officers and Jailers,3.79,4.22,4.29,4.34,4.25,4.5,2.5985142857142858,1.9642857142857144
33-3021.00,Detectives and Criminal Investigators,4.3,4.54,4.61,4.01,4.65,4.61,2.628114285714286,2.4732142857142856
33-3021.02,Police Identification and Records Officers,2.96,4.49,3.76,3.07,3.65,4.52,2.5276000000000005,1.8571428571428568
33-3021.06,Intelligence Analysts,2.57,4.3,3.09,2.35,3.04,4.39,2.4198142857142857,2.1357142857142857
33-3031.00,Fish and Game Wardens,4.26,4.76,4.08,4.23,4.42,4.14,3.492742857142857,2.1607142857142856
33-3041.00,Parking Enforcement Workers,2.6,3.74,4.87,2.95,3.84,4.01,2.69,1.604285714285714
33-3051.00,Police and Sheriff's Patrol Officers,3.62,4.5,4.66,4.46,4.52,4.72,3.1188571428571428,2.354914285714286
33-3051.04,Customs and Border Protection Officers,4.22,4.2,4.64,3.51,4.54,4.55,3.599657142857144,2.31
33-3052.00,Transit and Railroad Police,3.7,4.41,4.43,4.57,3.99,4.35,2.261628571428571,2.0028571428571427
33-9011.00,Animal Control Workers,3.96,4.54,4.58,3.69,4.31,4.08,2.864285714285714,1.822857142857143
33-9021.00,Private Detectives and Investigators,2.83,4.61,3.98,2.3,4.13,4.74,2.787785714285714,2.1492
33-9031.00,Gambling Surveillance Officers and Gambling Investigators,3.63,4.39,4.44,3.4,4.44,4.83,3.3632142857142857,2.0608
33-9032.00,Security Guards,3.2,4.44,3.68,4.95,3.44,4.41,2.728,1.7142857142857144
33-9091.00,Crossing Guards and Flaggers,4.09,4.25,4.22,2.91,3.67,3.9,1.6308571428571428,1.625
33-9092.00,"Lifeguards, Ski Patrol, and Other Recreational Protective Service Workers",4.06,3.82,4.11,4.24,4.08,3.65,1.576257142857143,1.8571428571428568
33-9093.00,Transportation Security Screeners,3.85,3.0,3.81,3.3,3.63,4.33,2.4052285714285717,1.872228571428572
33-9099.02,Retail Loss Prevention Specialists,3.5,4.51,4.09,3.9,4.16,4.3,3.474057142857144,2.02
35-1011.00,Chefs and Head Cooks,2.96,3.67,4.61,4.04,4.12,3.62,2.114028571428572,2.1677714285714287
35-1012.00,First-Line Supervisors of Food Preparation and Serving Workers,2.93,3.74,3.27,3.85,2.81,4.1,2.569642857142857,1.8571428571428568
35-2011.00,"Cooks, Fast Food",3.9,3.09,3.49,3.27,3.75,3.9,1.2035428571428572,1.4179428571428572
35-2012.00,"Cooks, Institution and Cafeteria",3.25,3.65,3.78,4.01,3.34,3.92,2.154642857142857,1.872228571428572
35-2013.00,"Cooks, Private Household",2.46,4.04,3.38,3.23,3.58,3.58,1.863142857142857,1.8571428571428568
35-2014.00,"Cooks, Restaurant",2.59,3.78,4.01,3.87,3.96,4.1,1.3355714285714286,1.5508
35-2015.00,"Cooks, Short Order",1.86,4.11,3.43,3.13,3.17,3.33,1.828,1.4628571428571429
35-2021.00,Food Preparation Workers,3.11,2.93,3.17,3.36,3.01,4.15,1.9065000000000003,1.394285714285714
35-3011.00,Bartenders,1.42,4.03,3.65,2.78,3.28,3.88,1.7820999999999998,1.7734857142857143
35-3023.00,Fast Food and Counter Workers,2.51,4.39,3.58,3.42,3.02,4.09,1.24,1.3706285714285715
35-3023.01,Baristas,1.6,4.05,3.39,2.75,3.21,3.67,1.5391714285714286,1.4435714285714285
35-3031.00,Waiters and Waitresses,1.72,3.4,3.39,3.9,3.05,3.54,1.7907142857142857,1.5
35-3041.00,"Food Servers, Nonrestaurant",2.64,3.78,3.91,3.99,3.65,3.93,2.0227857142857144,1.5300000000000002
35-9011.00,Dining Room and Cafeteria Attendants and Bartender Helpers,1.88,3.12,3.28,3.41,3.6,3.88,1.4363571428571429,1.5693714285714286
35-9021.00,Dishwashers,1.81,2.69,2.34,4.08,2.31,3.24,1.5206428571428572,1.3571428571428572
35-9031.00,"Hosts and Hostesses, Restaurant, Lounge, and Coffee Shop",2.05,4.16,4.19,3.03,3.48,3.84,1.4929,1.32
37-1011.00,First-Line Supervisors of Housekeeping and Janitorial Workers,2.87,3.63,3.75,4.33,3.78,4.01,2.5235000000000003,1.822857142857143
37-1012.00,"First-Line Supervisors of Landscaping, Lawn Service, and Groundskeeping Workers",3.53,4.11,4.44,4.49,4.13,4.01,2.7706714285714287,1.9642857142857144
37-2011.00,"Janitors and Cleaners, Except Maids and Housekeeping Cleaners",2.38,4.43,3.03,3.9,2.72,3.23,1.7905000000000002,1.4179428571428572
37-2012.00,Maids and Housekeeping Cleaners,1.76,3.21,2.67,3.17,2.52,3.63,1.5022000000000002,1.3392000000000002
37-2021.00,Pest Control Workers,3.27,4.48,4.38,2.84,4.19,4.11,1.9614,1.872228571428572
37-3011.00,Landscaping and Groundskeeping Workers,2.91,2.53,2.72,3.31,3.17,3.19,2.0338857142857147,1.4821428571428572
37-3012.00,"Pesticide Handlers, Sprayers, and Applicators, Vegetation",3.82,4.28,4.53,3.3,4.37,4.21,2.224,1.822857142857143
37-3013.00,Tree Trimmers and Pruners,3.79,4.39,4.49,3.96,4.32,3.82,2.262857142857144,1.625
39-1013.00,First-Line Supervisors of Gambling Services Workers,3.38,3.69,4.24,3.59,4.34,4.54,2.154785714285714,1.9085714285714288
39-1022.00,First-Line Supervisors of Personal Service Workers,3.67,4.57,4.51,4.52,4.66,4.73,2.609228571428571,1.9642857142857144
39-2011.00,Animal Trainers,2.75,4.78,3.72,3.6,4.0,3.45,1.8792,1.872228571428572
39-2021.00,Animal Caretakers,3.32,3.64,4.19,3.2,3.86,3.53,1.735085714285714,1.605714285714286
39-3011.00,Gambling Dealers,2.53,2.38,4.25,2.57,3.63,4.65,1.450214285714286,1.51
39-3012.00,Gambling and Sports Book Writers and Runners,2.1,3.06,3.3,2.98,3.53,4.34,1.6058285714285714,1.5785714285714287
39-3021.00,Motion Picture Projectionists,2.5,3.98,3.68,2.36,3.42,4.3,1.3594285714285714,1.604285714285714
39-3031.00,"Ushers, Lobby Attendants, and Ticket Takers",1.72,3.68,3.28,1.84,3.08,3.74,1.3168,1.4179428571428572
39-3091.00,Amusement and Recreation Attendants,2.12,3.47,3.2,2.87,3.31,2.89,1.705657142857143,1.4906285714285716
39-3092.00,Costume Attendants,2.18,4.2,3.53,2.87,3.33,4.08,1.3098857142857143,1.4691999999999998
39-3093.00,"Locker Room, Coatroom, and Dressing Room Attendants",1.69,3.87,3.31,3.31,2.88,3.22,1.3390857142857144,1.4017857142857142
39-4011.00,Embalmers,4.06,4.49,4.68,3.74,4.66,4.57,3.0541714285714288,1.8571428571428568
39-4021.00,Funeral Attendants,2.55,3.6,3.52,2.0,3.26,4.05,1.6037428571428571,1.4691999999999998
39-4031.00,"Morticians, Undertakers, and Funeral Arrangers",3.28,4.24,4.4,3.74,4.65,4.54,2.2909,1.9085714285714288
39-5011.00,Barbers,2.44,4.79,2.92,3.33,4.36,4.37,1.9051428571428568,1.605714285714286
39-5012.00,"Hairdressers, Hairstylists, and Cosmetologists",2.26,4.76,3.86,3.52,3.72,4.27,1.5942142857142858,1.8035714285714288
39-5091.00,"Makeup Artists, Theatrical and Performance",2.43,4.15,3.19,4.48,3.3,3.9,1.5825,1.9642857142857144
39-5092.00,Manicurists and Pedicurists,1.69,3.9,2.03,3.55,1.96,3.78,1.268457142857143,1.4179428571428572
39-5093.00,Shampooers,1.82,3.62,4.11,2.98,4.36,4.73,1.3370714285714285,1.4542857142857144
39-5094.00,Skincare Specialists,2.49,4.34,4.68,3.26,4.05,3.86,2.218,1.7734857142857143
39-6011.00,Baggage Porters and Bellhops,3.01,4.33,3.9,3.72,3.51,3.29,1.933428571428572,1.5625
39-6012.00,Concierges,1.95,4.41,3.23,3.05,3.27,3.76,2.0766285714285715,1.8571428571428568
39-7011.00,Tour Guides and Escorts,1.9,4.06,3.64,2.54,3.25,3.82,1.5091428571428571,1.5300000000000002
39-7012.00,Travel Guides,2.49,4.77,4.61,4.01,4.2,4.29,1.687542857142857,1.9085714285714288
39-9011.00,Childcare Workers,2.69,4.03,3.32,3.95,3.33,3.34,1.7723428571428572,1.8571428571428568
39-9011.01,Nannies,3.44,4.48,3.48,3.2,3.64,3.2,1.4342857142857142,2.1228571428571428
39-9031.00,Exercise Trainers and Group Fitness Instructors,2.48,4.62,3.76,3.57,3.75,2.95,2.0435857142857143,1.8571428571428568
39-9032.00,Recreation Workers,3.4,4.1,3.65,3.59,3.57,3.29,2.4149285714285718,1.8571428571428568
39-9041.00,Residential Advisors,3.48,3.85,3.55,4.18,3.67,3.52,2.3005,1.9449142857142856
41-1011.00,First-Line Supervisors of Retail Sales Workers,1.67,4.3,4.22,3.79,3.95,3.99,2.1036,1.9085714285714288
41-1012.00,First-Line Supervisors of Non-Retail Sales Workers,2.24,4.05,4.54,3.55,4.61,4.22,2.689285714285714,2.596342857142857
41-2011.00,Cashiers,1.93,3.45,4.06,2.68,3.09,3.9,1.471,1.4285714285714286
41-2012.00,Gambling Change Persons and Booth Cashiers,2.55,3.11,4.23,2.58,4.23,4.84,2.7278571428571428,1.5300000000000002
41-2021.00,Counter and Rental Clerks,1.93,3.94,4.04,2.64,3.36,4.0,1.6331714285714285,1.604285714285714
41-2022.00,Parts Salespersons,2.54,4.55,3.99,3.33,4.12,4.02,1.9884285714285717,1.822857142857143
41-2031.00,Retail Salespersons,2.36,3.43,4.15,2.7,4.03,4.15,1.5,1.7385714285714284
41-3011.00,Advertising Sales Agents,2.0,4.55,4.33,1.51,4.19,4.03,1.9078571428571427,2.044642857142857
41-3021.00,Insurance Sales Agents,2.98,3.88,4.81,1.82,4.43,4.7,2.319685714285715,1.9285714285714288
41-3031.00,"Securities, Commodities, and Financial Services Sales Agents",3.33,4.33,4.3,2.1,4.3,4.55,2.809828571428572,2.31
41-3041.00,Travel Agents,3.38,4.03,3.74,2.55,3.88,4.78,1.5304285714285717,2.02
41-4011.00,"Sales Representatives, Wholesale and Manufacturing, Technical and Scientific Products",2.5,4.27,4.69,2.69,4.04,4.36,1.6144285714285715,2.023657142857143
41-4011.07,Solar Sales Representatives and Assessors,2.77,4.02,3.79,2.1,3.97,4.16,2.356528571428571,1.9085714285714288
41-4012.00,"Sales Representatives, Wholesale and Manufacturing, Except Technical and Scientific Products",1.88,4.51,4.72,2.29,4.32,3.75,1.7416285714285713,1.9085714285714288
41-9011.00,Demonstrators and Product Promoters,2.19,4.04,3.77,2.78,3.69,3.34,1.3604571428571428,1.7485714285714289
41-9012.00,Models,2.22,3.73,2.94,1.2,2.95,2.76,1.062142857142857,1.3008
41-9021.00,Real Estate Brokers,3.15,4.89,4.59,2.23,4.39,4.03,2.2201142857142857,2.36
41-9022.00,Real Estate Sales Agents,3.4,4.57,4.35,2.14,4.43,4.05,2.2312857142857143,2.205357142857143
41-9031.00,Sales Engineers,2.66,4.46,4.56,2.69,4.48,3.97,2.474685714285714,2.7142857142857144
41-9041.00,Telemarketers,1.88,3.53,3.25,2.2,3.2,4.58,2.378742857142857,1.4179428571428572
41-9091.00,"Door-to-Door Sales Workers, News and Street Vendors, and Related Workers",1.46,4.79,2.92,1.67,2.58,2.96,1.2156142857142858,1.822857142857143
43-1011.00,First-Line Supervisors of Office and Administrative Support Workers,2.92,4.03,3.96,2.61,3.97,4.23,2.6815,2.225714285714286
43-2011.00,"Switchboard Operators, Including Answering Service",2.03,3.71,4.49,2.72,3.48,3.93,2.031771428571429,1.4906285714285716
43-2021.00,Telephone Operators,2.32,3.72,4.18,3.27,3.74,4.17,1.836,1.335714285714286
43-3011.00,Bill and Account Collectors,3.1,3.24,4.27,2.25,4.16,4.04,1.8022,1.7385714285714284
43-3021.00,Billing and Posting Clerks,1.93,4.09,3.61,1.81,3.37,4.29,2.280142857142857,1.7385714285714284
43-3031.00,"Bookkeeping, Accounting, and Auditing Clerks",2.44,3.75,3.92,2.05,3.68,4.68,2.1499428571428574,1.7200000000000002
43-3041.00,Gambling Cage Workers,3.98,3.26,3.98,3.01,3.86,4.97,2.345285714285714,1.6391999999999998
43-3051.00,Payroll and Timekeeping Clerks,2.25,3.49,3.86,1.81,3.88,4.91,2.6575,1.7734857142857143
43-3061.00,Procurement Clerks,2.08,4.35,4.46,2.47,3.98,4.85,1.8091714285714289,2.1142857142857143
43-3071.00,Tellers,3.2,3.67,4.33,3.56,4.15,4.8,2.8508571428571425,1.7734857142857143
43-4011.00,Brokerage Clerks,3.16,3.88,3.89,1.41,3.87,4.73,2.447914285714286,1.822857142857143
43-4021.00,Correspondence Clerks,2.39,4.16,3.94,2.61,4.0,4.52,1.644914285714286,1.9642857142857144
43-4031.00,"Court, Municipal, and License Clerks",2.62,3.88,3.63,2.65,3.49,4.36,2.251128571428572,1.7485714285714289
43-4041.00,"Credit Authorizers, Checkers, and Clerks",3.16,4.38,4.51,2.58,4.52,4.7,2.0455428571428573,1.9285714285714288
43-4051.00,Customer Service Representatives,2.16,3.05,3.89,2.36,3.86,4.53,1.8605285714285715,1.8057142857142856
43-4061.00,"Eligibility Interviewers, Government Programs",2.67,3.63,4.37,2.71,3.77,4.64,3.4696,2.044642857142857
43-4071.00,File Clerks,2.91,3.43,3.2,2.45,2.92,4.16,2.2516,1.5
43-4081.00,"Hotel, Motel, and Resort Desk Clerks",2.3,4.2,4.31,3.29,3.95,4.14,1.7867285714285712,1.822857142857143
43-4111.00,"Interviewers, Except Eligibility and Loan",2.34,3.76,4.13,3.53,4.14,4.67,3.632242857142856,1.6364285714285711
43-4121.00,"Library Assistants, Clerical",1.55,3.9,3.9,2.65,3.49,4.17,1.699414285714286,1.5625
43-4131.00,Loan Interviewers and Clerks,2.43,4.42,4.62,2.25,4.07,4.7,3.421571428571428,2.275
43-4141.00,New Accounts Clerks,3.07,3.32,3.96,2.41,3.85,4.67,2.304628571428572,1.8571428571428568
43-4151.00,Order Clerks,1.61,3.81,3.52,2.61,3.34,4.11,2.610328571428572,1.8328571428571427
43-4161.00,"Human Resources Assistants, Except Payroll and Timekeeping",2.27,3.98,3.41,2.91,3.73,4.72,3.0017142857142853,1.8571428571428568
43-4171.00,Receptionists and Information Clerks,1.96,3.95,4.56,1.92,4.3,3.72,1.8400857142857143,1.4179428571428572
43-4181.00,Reservation and Transportation Ticket Agents and Travel Clerks,3.45,4.05,4.61,2.64,3.97,4.68,3.071542857142857,1.9085714285714288
43-5011.00,Cargo and Freight Agents,3.02,4.2,3.94,3.06,3.65,3.67,2.1764,1.6875
43-5011.01,Freight Forwarders,3.0,3.53,4.01,2.03,4.01,4.33,3.036571428571429,1.8571428571428568
43-5021.00,Couriers and Messengers,2.73,4.79,3.44,3.52,3.33,4.14,1.92,1.537142857142857
43-5031.00,Public Safety Telecommunicators,3.81,4.33,4.78,3.72,4.73,4.82,2.4411428571428573,2.0608
43-5032.00,"Dispatchers, Except Police, Fire, and Ambulance",2.3,4.51,4.85,4.25,4.7,4.58,1.6571142857142855,1.872228571428572
43-5041.00,"Meter Readers, Utilities",3.0,3.82,3.83,3.63,3.61,4.33,1.82,1.5785714285714287
43-5051.00,Postal Service Clerks,2.28,3.13,3.48,2.96,3.58,4.28,2.525485714285714,1.5693714285714286
43-5052.00,Postal Service Mail Carriers,2.93,3.38,3.93,2.69,3.73,4.5,1.3694571428571427,1.4906285714285716
43-5053.00,"Postal Service Mail Sorters, Processors, and Processing Machine Operators",2.33,3.24,3.36,3.11,3.09,4.04,1.4242857142857142,1.5693714285714286
43-5061.00,"Production, Planning, and Expediting Clerks",3.19,4.59,4.23,3.07,4.03,4.46,2.112042857142857,1.7734857142857143
43-5071.00,"Shipping, Receiving, and Inventory Clerks",2.46,4.14,3.48,4.07,3.36,4.44,1.849628571428572,1.7385714285714284
43-5111.00,"Weighers, Measurers, Checkers, and Samplers, Recordkeeping",3.01,3.52,3.11,3.54,3.05,4.52,2.4432,1.7734857142857143
43-6011.00,Executive Secretaries and Executive Administrative Assistants,2.07,4.26,3.26,2.11,3.35,4.5,2.1092,1.872228571428572
43-6012.00,Legal Secretaries and Administrative Assistants,2.44,3.61,3.38,2.42,3.3,4.43,1.9296142857142855,1.6875
43-6013.00,Medical Secretaries and Administrative Assistants,2.09,3.81,3.51,2.76,3.52,4.53,2.4535714285714283,1.604285714285714
43-6014.00,"Secretaries and Administrative Assistants, Except Legal, Medical, and Executive",2.1,3.78,3.47,2.39,3.6,4.22,2.038685714285714,1.7485714285714289
43-9021.00,Data Entry Keyers,3.04,4.52,3.33,2.42,3.32,4.87,2.891,1.5508
43-9022.00,Word Processors and Typists,2.16,3.67,2.6,2.46,2.72,4.68,2.0847999999999995,1.4028571428571428
43-9031.00,Desktop Publishers,2.28,3.9,3.14,1.7,2.9,4.43,1.6042857142857143,2.1228571428571428
43-9041.00,Insurance Claims and Policy Processing Clerks,2.32,3.76,3.79,2.12,3.6,4.52,2.591971428571428,1.822857142857143
43-9051.00,"Mail Clerks and Mail Machine Operators, Except Postal Service",3.46,4.04,4.7,3.2,4.1,4.48,1.3912428571428572,1.7036571428571428
43-9061.00,"Office Clerks, General",2.43,3.28,3.08,2.45,3.75,4.6,1.859457142857143,1.5625
43-9071.00,"Office Machine Operators, Except Computer",1.95,3.61,2.85,2.15,2.77,3.77,1.421457142857143,1.7142857142857144
43-9081.00,Proofreaders and Copy Markers,2.19,3.99,3.59,1.28,2.66,4.89,1.9685714285714284,1.4821428571428572
43-9111.00,Statistical Assistants,2.29,4.03,3.22,2.0,3.46,4.46,2.1538857142857144,1.9642857142857144
45-1011.00,"First-Line Supervisors of Farming, Fishing, and Forestry Workers",3.44,4.45,4.2,3.98,4.08,3.96,2.326,2.044642857142857
45-2011.00,Agricultural Inspectors,3.11,4.17,3.93,3.43,4.18,4.62,3.2295,2.086428571428572
45-2021.00,Animal Breeders,3.67,4.94,3.16,2.56,3.42,3.34,1.725657142857143,1.8571428571428568
45-2041.00,"Graders and Sorters, Agricultural Products",2.21,2.91,3.07,2.58,2.99,3.57,1.8784857142857143,1.335714285714286
45-2091.00,Agricultural Equipment Operators,2.76,3.18,2.72,2.98,3.04,3.72,1.605057142857143,1.4542857142857144
45-2092.00,"Farmworkers and Laborers, Crop, Nursery, and Greenhouse",2.59,3.04,2.41,3.02,2.85,3.27,1.8617142857142857,1.4435714285714285
45-2093.00,"Farmworkers, Farm, Ranch, and Aquacultural Animals",3.09,3.97,3.57,3.55,3.23,3.37,2.1025714285714288,1.9085714285714288
45-3031.00,Fishing and Hunting Workers,3.26,4.4,3.32,3.38,3.45,3.24,2.411714285714285,1.6814285714285715
45-4011.00,Forest and Conservation Workers,3.38,4.21,4.09,3.84,3.94,3.37,1.9072857142857145,1.822857142857143
45-4021.00,Fallers,3.44,4.82,4.26,3.76,4.26,4.1,1.4464,1.7485714285714289
45-4022.00,Logging Equipment Operators,4.08,4.03,4.55,4.43,4.42,3.79,2.8239,1.6714285714285717
45-4023.00,Log Graders and Scalers,2.99,4.35,4.63,3.13,4.19,4.12,2.3653000000000004,1.8571428571428568
47-1011.00,First-Line Supervisors of Construction Trades and Extraction Workers,3.27,4.59,4.85,4.78,4.62,4.28,2.5638571428571426,2.0028571428571427
47-1011.03,Solar Energy Installation Managers,3.57,4.61,4.75,4.1,4.38,4.51,2.7618285714285715,2.086428571428572
47-2011.00,Boilermakers,3.99,4.11,4.18,3.22,4.04,4.53,2.0429714285714287,1.8571428571428568
47-2021.00,Brickmasons and Blockmasons,3.06,3.97,3.64,3.74,3.53,4.12,2.3968857142857143,1.5693714285714286
47-2022.00,Stonemasons,3.74,4.34,4.36,4.42,4.56,4.6,2.715657142857143,1.8839285714285712
47-2031.00,Carpenters,3.8,3.63,4.22,4.48,4.37,4.55,2.1293714285714285,1.822857142857143
47-2041.00,Carpet Installers,2.87,4.87,4.08,3.34,4.13,3.96,1.7518857142857145,1.6714285714285717
47-2042.00,"Floor Layers, Except Carpet, Wood, and Hard Tiles",2.0,4.39,3.86,2.98,4.36,4.19,1.9298285714285717,1.604285714285714
47-2043.00,Floor Sanders and Finishers,2.89,4.45,4.05,3.56,4.38,4.37,2.029,1.5207142857142857
47-2044.00,Tile and Stone Setters,3.11,3.6,3.4,3.07,3.53,4.54,2.011428571428572,1.625
47-2051.00,Cement Masons and Concrete Finishers,3.48,3.36,3.67,4.35,3.75,4.44,1.9782571428571427,1.605714285714286
47-2053.00,Terrazzo Workers and Finishers,3.22,3.05,3.2,3.8,3.3,4.31,1.6554285714285717,1.604285714285714
47-2061.00,Construction Laborers,3.8,3.35,3.87,3.66,3.74,3.71,2.0578,1.4179428571428572
47-2071.00,"Paving, Surfacing, and Tamping Equipment Operators",3.66,3.44,3.22,3.69,3.62,3.48,2.1677714285714287,1.6714285714285717
47-2072.00,Pile Driver Operators,4.15,4.03,4.15,4.65,4.18,4.18,2.2789714285714284,1.625
47-2073.00,Operating Engineers and Other Construction Equipment Operators,4.86,4.01,4.83,4.33,4.56,3.91,2.8744,1.7036571428571428
47-2081.00,Drywall and Ceiling Tile Installers,2.79,4.01,3.67,3.1,3.69,4.43,1.4929,1.6714285714285717
47-2082.00,Tapers,2.3,3.98,3.63,3.73,3.41,3.7,1.3785142857142858,1.4691999999999998
47-2111.00,Electricians,3.33,4.5,4.32,4.55,4.67,4.72,2.2502285714285715,2.0028571428571427
47-2121.00,Glaziers,3.83,4.0,4.05,3.9,3.93,4.42,2.1430285714285717,1.604285714285714
47-2131.00,"Insulation Workers, Floor, Ceiling, and Wall",2.63,3.94,3.66,3.59,3.55,3.49,1.7268571428571429,1.5508
47-2132.00,"Insulation Workers, Mechanical",2.15,4.23,3.85,3.93,3.26,3.94,1.8028,1.6714285714285717
47-2141.00,"Painters, Construction and Maintenance",2.48,4.29,3.33,3.95,3.48,4.44,2.0368,1.5
47-2142.00,Paperhangers,2.55,4.11,3.99,3.12,3.94,3.92,1.4187857142857143,1.5625
47-2151.00,Pipelayers,3.27,3.67,4.37,4.36,4.19,4.03,1.704314285714286,1.6391999999999998
47-2152.00,"Plumbers, Pipefitters, and Steamfitters",3.01,4.38,4.45,4.12,4.39,4.11,1.8398285714285716,2.0028571428571427
47-2152.04,Solar Thermal Installers and Technicians,3.41,4.71,4.25,4.02,4.14,4.2,2.213457142857143,1.872228571428572
47-2161.00,Plasterers and Stucco Masons,2.79,3.23,4.12,3.75,3.44,4.17,2.1348857142857143,1.625
47-2171.00,Reinforcing Iron and Rebar Workers,3.14,3.14,3.29,4.56,3.52,3.43,1.7598,1.7385714285714284
47-2181.00,Roofers,3.11,3.79,3.88,4.23,3.7,4.28,2.395428571428572,1.625
47-2211.00,Sheet Metal Workers,3.86,3.4,3.2,3.98,3.21,4.44,2.6607142857142856,1.822857142857143
47-2221.00,Structural Iron and Steel Workers,3.57,3.68,3.83,4.33,3.79,4.13,2.2607142857142857,1.7857142857142856
47-2231.00,Solar Photovoltaic Installers,4.02,4.2,4.15,4.34,3.95,4.39,2.374571428571429,1.872228571428572
47-3011.00,"Helpers--Brickmasons, Blockmasons, Stonemasons, and Tile and Marble Setters",3.42,3.07,3.08,4.04,3.5,3.85,2.0663714285714283,1.6391999999999998
47-3012.00,Helpers--Carpenters,3.65,4.12,3.54,4.18,3.58,4.25,2.1594571428571427,1.5693714285714286
47-3013.00,Helpers--Electricians,3.03,3.56,3.73,3.67,3.48,4.2,2.9932,1.6428571428571428
47-3014.00,"Helpers--Painters, Paperhangers, Plasterers, and Stucco Masons",2.65,3.36,3.86,3.59,3.5,3.27,1.6623714285714284,1.4542857142857144
47-3015.00,"Helpers--Pipelayers, Plumbers, Pipefitters, and Steamfitters",3.37,3.06,3.78,3.0,3.41,3.52,2.8096,1.5693714285714286
47-3016.00,Helpers--Roofers,3.53,3.21,2.85,4.33,3.76,3.95,1.8831857142857145,1.595
47-4011.00,Construction and Building Inspectors,3.32,4.68,4.08,3.04,3.88,4.12,3.1741714285714284,2.1492
47-4011.01,Energy Auditors,2.72,4.28,4.17,3.38,3.86,3.83,2.8630857142857145,2.4035714285714285
47-4021.00,Elevator and Escalator Installers and Repairers,4.33,3.99,4.97,4.71,4.68,4.54,3.068142857142857,2.02
47-4031.00,Fence Erectors,4.11,4.23,2.74,4.76,3.32,4.07,1.6828857142857143,1.7734857142857143
47-4041.00,Hazardous Materials Removal Workers,3.25,3.32,3.35,4.35,3.44,3.75,2.6,1.8571428571428568
47-4051.00,Highway Maintenance Workers,4.15,3.51,4.23,4.0,3.76,4.1,2.161671428571429,1.7036571428571428
47-4061.00,Rail-Track Laying and Maintenance Equipment Operators,3.84,4.0,3.57,4.39,3.79,3.92,2.3463571428571424,1.7857142857142856
47-4071.00,Septic Tank Servicers and Sewer Pipe Cleaners,2.67,4.06,4.31,3.85,3.79,3.39,1.6788571428571428,1.6875
47-4091.00,Segmental Pavers,2.9,4.09,4.0,3.45,3.71,3.75,2.1601714285714286,1.7934857142857146
47-4099.03,Weatherization Installers and Technicians,3.22,3.43,3.22,4.3,3.35,3.59,2.580757142857143,1.9642857142857144
47-5011.00,"Derrick Operators, Oil and Gas",2.72,3.94,3.98,4.77,4.18,3.93,1.4646,1.7934857142857146
47-5012.00,"Rotary Drill Operators, Oil and Gas",4.46,4.21,4.51,4.84,4.64,4.61,2.638257142857143,1.9085714285714288
47-5013.00,"Service Unit Operators, Oil and Gas",4.25,4.16,4.88,4.66,4.69,4.35,2.5762285714285715,1.8421428571428573
47-5022.00,"Excavating and Loading Machine and Dragline Operators, Surface Mining",3.77,4.06,4.13,4.01,3.63,3.8,2.5305142857142857,1.7857142857142856
47-5023.00,"Earth Drillers, Except Oil and Gas",3.95,4.51,3.76,3.72,3.85,3.62,2.369814285714286,1.7036571428571428
47-5032.00,"Explosives Workers, Ordnance Handling Experts, and Blasters",4.17,3.75,4.29,4.67,4.29,4.5,3.3876,2.216428571428572
47-5041.00,Continuous Mining Machine Operators,4.27,4.02,4.71,4.5,3.84,4.11,2.411057142857143,1.9085714285714288
47-5043.00,"Roof Bolters, Mining",3.85,2.93,3.56,4.86,3.62,3.88,2.5322285714285715,1.68
47-5044.00,"Loading and Moving Machine Operators, Underground Mining",3.58,3.14,3.47,4.15,3.18,3.46,2.0213714285714284,1.4435714285714285
47-5051.00,"Rock Splitters, Quarry",3.28,3.41,2.43,3.56,2.66,3.74,1.6696,1.5207142857142857
