O*NET-SOC Code,Title,Degree of Automation,Importance of Repeating Same Tasks,Pace Determined by Speed of Equipment,Spend Time Making Repetitive Motions,Time Pressure
47-5071.00,"Roustabouts, Oil and Gas",1.92,3.31,2.81,3.7,4.28
47-5081.00,Helpers--Extraction Workers,1.52,3.13,3.91,4.08,3.47
49-1011.00,"First-Line Supervisors of Mechanics, Installers, and Repairers",1.46,3.87,1.64,2.91,3.93
49-2011.00,"Computer, Automated Teller, and Office Machine Repairers",2.46,3.65,1.91,2.78,4.24
49-2021.00,"Radio, Cellular, and Tower Equipment Installers and Repairers",1.48,2.88,1.54,2.8,3.48
49-2022.00,"Telecommunications Equipment Installers and Repairers, Except Line Installers",1.67,3.89,1.11,3.21,4.12
49-2091.00,Avionics Technicians,1.75,2.88,1.59,2.85,4.54
49-2092.00,"Electric Motor, Power Tool, and Related Repairers",1.51,3.25,2.94,3.68,4.04
49-2093.00,"Electrical and Electronics Installers and Repairers, Transportation Equipment",1.86,3.13,2.32,4.03,4.48
49-2094.00,"Electrical and Electronics Repairers, Commercial and Industrial Equipment",2.36,3.29,2.27,3.18,3.16
49-2095.00,"Electrical and Electronics Repairers, Powerhouse, Substation, and Relay",2.37,4.19,2.12,2.83,4.17
49-2096.00,"Electronic Equipment Installers and Repairers, Motor Vehicles",1.6,3.46,2.18,3.99,4.53
49-2097.00,Audiovisual Equipment Installers and Repairers,2.2,2.69,1.68,2.94,3.82
49-2098.00,Security and Fire Alarm Systems Installers,1.43,3.05,1.14,2.39,4.08
49-3011.00,Aircraft Mechanics and Service Technicians,1.27,3.71,1.99,3.51,4.24
49-3021.00,Automotive Body and Related Repairers,1.65,2.87,2.26,4.04,4.53
49-3022.00,Automotive Glass Installers and Repairers,1.07,3.17,1.44,3.51,4.41
49-3023.00,Automotive Service Technicians and Mechanics,1.53,3.42,1.81,3.56,4.48
49-3031.00,Bus and Truck Mechanics and Diesel Engine Specialists,1.55,3.2,2.36,4.14,4.07
49-3041.00,Farm Equipment Mechanics and Service Technicians,1.37,3.37,2.35,3.88,4.08
49-3042.00,"Mobile Heavy Equipment Mechanics, Except Engines",1.49,3.52,2.51,3.83,3.93
49-3043.00,Rail Car Repairers,1.44,2.8,2.23,3.37,3.99
49-3051.00,Motorboat Mechanics and Service Technicians,1.56,2.4,1.72,2.86,4.17
49-3052.00,Motorcycle Mechanics,1.06,3.78,1.83,3.96,4.54
49-3053.00,Outdoor Power Equipment and Other Small Engine Mechanics,1.36,3.07,1.32,3.1,3.66
49-3091.00,Bicycle Repairers,1.12,2.22,1.27,3.67,4.53
49-3092.00,Recreational Vehicle Service Technicians,1.71,2.33,1.28,2.77,3.46
49-3093.00,Tire Repairers and Changers,2.08,3.46,2.8,3.97,4.15
49-9011.00,Mechanical Door Repairers,1.68,3.18,1.65,3.41,4.0
49-9012.00,"Control and Valve Installers and Repairers, Except Mechanical Door",2.23,3.28,2.28,3.67,4.03
49-9021.00,"Heating, Air Conditioning, and Refrigeration Mechanics and Installers",1.97,3.49,2.12,3.1,3.8
49-9031.00,Home Appliance Repairers,1.81,3.04,1.83,3.08,3.74
49-9041.00,Industrial Machinery Mechanics,2.19,2.94,3.33,2.65,3.69
49-9043.00,"Maintenance Workers, Machinery",2.35,3.58,3.36,3.25,3.7
49-9044.00,Millwrights,1.86,3.91,3.09,3.55,4.59
49-9045.00,"Refractory Materials Repairers, Except Brickmasons",1.72,3.06,3.47,3.98,4.67
49-9051.00,Electrical Power-Line Installers and Repairers,1.48,2.79,2.77,3.37,4.11
49-9052.00,Telecommunications Line Installers and Repairers,1.8,3.56,2.39,3.7,4.54
49-9061.00,Camera and Photographic Equipment Repairers,1.21,2.96,1.04,3.34,3.67
49-9062.00,Medical Equipment Repairers,1.79,3.33,1.76,2.5,3.82
49-9063.00,Musical Instrument Repairers and Tuners,1.14,3.6,1.11,4.0,3.86
49-9064.00,Watch and Clock Repairers,1.05,2.52,1.13,2.72,3.81
49-9071.00,"Maintenance and Repair Workers, General",2.48,3.09,3.23,3.43,3.72
49-9081.00,Wind Turbine Service Technicians,2.12,4.18,2.71,4.44,4.21
49-9091.00,"Coin, Vending, and Amusement Machine Servicers and Repairers",1.88,4.05,2.0,3.49,3.03
49-9092.00,Commercial Divers,1.54,3.39,2.36,3.17,3.85
49-9094.00,Locksmiths and Safe Repairers,1.58,3.0,1.81,2.69,3.92
49-9095.00,Manufactured Building and Mobile Home Installers,1.05,2.65,2.64,4.25,4.24
49-9096.00,Riggers,1.96,3.55,3.7,3.86,4.61
49-9097.00,Signal and Track Switch Repairers,2.0,3.07,2.07,3.07,3.86
49-9098.00,"Helpers--Installation, Maintenance, and Repair Workers",2.1,3.12,2.36,2.94,3.44
49-9099.01,Geothermal Technicians,3.06,3.73,2.59,3.17,3.58
51-1011.00,First-Line Supervisors of Production and Operating Workers,2.3,3.34,3.83,2.77,4.5
51-2011.00,"Aircraft Structure, Surfaces, Rigging, and Systems Assemblers",2.17,3.65,2.39,3.96,3.53
51-2021.00,"Coil Winders, Tapers, and Finishers",1.64,3.63,2.41,4.65,4.14
51-2022.00,Electrical and Electronic Equipment Assemblers,1.75,2.94,2.75,3.78,4.48
51-2023.00,Electromechanical Equipment Assemblers,2.29,3.55,2.31,3.5,3.78
51-2031.00,Engine and Other Machine Assemblers,1.87,3.01,2.66,3.72,4.31
51-2041.00,Structural Metal Fabricators and Fitters,2.08,2.93,2.77,3.59,4.33
51-2051.00,Fiberglass Laminators and Fabricators,1.76,3.59,2.92,4.2,4.59
51-2061.00,Timing Device Assemblers and Adjusters,1.91,2.23,1.07,1.88,2.91
51-2092.00,Team Assemblers,2.09,2.81,2.86,3.88,4.5
51-3011.00,Bakers,2.5,3.08,3.27,3.66,4.32
51-3021.00,Butchers and Meat Cutters,2.44,3.0,3.58,4.26,4.12
51-3022.00,"Meat, Poultry, and Fish Cutters and Trimmers",2.89,3.52,4.22,4.76,4.59
51-3023.00,Slaughterers and Meat Packers,1.9,3.07,4.2,4.28,2.97
51-3091.00,"Food and Tobacco Roasting, Baking, and Drying Machine Operators and Tenders",3.22,3.58,3.83,3.41,4.03
51-3092.00,Food Batchmakers,2.77,4.09,4.29,3.86,4.19
51-3093.00,Food Cooking Machine Operators and Tenders,2.89,3.03,3.49,3.61,4.14
51-4021.00,"Extruding and Drawing Machine Setters, Operators, and Tenders, Metal and Plastic",2.73,3.46,4.76,3.37,4.41
51-4022.00,"Forging Machine Setters, Operators, and Tenders, Metal and Plastic",2.96,3.56,4.06,3.54,4.47
51-4023.00,"Rolling Machine Setters, Operators, and Tenders, Metal and Plastic",2.68,3.7,4.12,3.75,4.36
51-4031.00,"Cutting, Punching, and Press Machine Setters, Operators, and Tenders, Metal and Plastic",2.42,4.13,4.71,4.46,4.14
51-4032.00,"Drilling and Boring Machine Tool Setters, Operators, and Tenders, Metal and Plastic",2.67,3.41,3.87,3.4,4.32
51-4033.00,"Grinding, Lapping, Polishing, and Buffing Machine Tool Setters, Operators, and Tenders, Metal and Plastic",2.9,3.69,4.07,3.76,4.31
51-4034.00,"Lathe and Turning Machine Tool Setters, Operators, and Tenders, Metal and Plastic",2.62,2.88,3.12,3.45,3.26
51-4035.00,"Milling and Planing Machine Setters, Operators, and Tenders, Metal and Plastic",2.24,3.28,3.89,3.7,4.1
51-4041.00,Machinists,3.05,3.89,4.33,4.02,4.22
51-4051.00,Metal-Refining Furnace Operators and Tenders,2.91,3.83,4.41,4.01,3.39
51-4052.00,"Pourers and Casters, Metal",2.48,2.1,3.32,3.62,3.48
51-4061.00,"Model Makers, Metal and Plastic",2.33,3.73,3.46,3.29,4.24
51-4062.00,"Patternmakers, Metal and Plastic",2.12,3.04,3.48,3.37,4.51
51-4071.00,Foundry Mold and Coremakers,2.24,2.96,3.72,4.03,4.2
51-4072.00,"Molding, Coremaking, and Casting Machine Setters, Operators, and Tenders, Metal and Plastic",2.42,3.47,3.93,3.46,3.96
51-4081.00,"Multiple Machine Tool Setters, Operators, and Tenders, Metal and Plastic",3.02,2.93,3.95,2.89,4.46
51-4111.00,Tool and Die Makers,1.8,2.87,3.24,2.9,4.29
51-4121.00,"Welders, Cutters, Solderers, and Brazers",1.76,3.16,2.64,3.46,4.51
51-4122.00,"Welding, Soldering, and Brazing Machine Setters, Operators, and Tenders",2.41,3.26,3.35,4.22,4.28
51-4191.00,"Heat Treating Equipment Setters, Operators, and Tenders, Metal and Plastic",1.91,4.14,4.01,3.9,4.6
51-4192.00,"Layout Workers, Metal and Plastic",2.01,2.87,2.6,3.68,4.64
51-4193.00,"Plating Machine Setters, Operators, and Tenders, Metal and Plastic",2.23,3.49,3.43,3.47,4.94
51-4194.00,"Tool Grinders, Filers, and Sharpeners",2.16,2.79,4.12,4.07,4.05
51-5111.00,Prepress Technicians and Workers,3.08,3.72,2.43,3.64,4.92
51-5112.00,Printing Press Operators,2.61,3.61,4.04,3.82,4.8
51-5113.00,Print Binding and Finishing Workers,2.7,3.6,3.57,4.19,3.87
51-6011.00,Laundry and Dry-Cleaning Workers,3.27,3.07,4.12,4.13,3.91
51-6021.00,"Pressers, Textile, Garment, and Related Materials",2.55,2.84,4.19,3.68,3.94
51-6031.00,Sewing Machine Operators,1.88,2.61,3.03,4.44,3.76
51-6041.00,Shoe and Leather Workers and Repairers,2.01,2.39,2.82,4.29,4.03
51-6042.00,Shoe Machine Operators and Tenders,1.47,3.75,3.71,4.85,3.89
51-6051.00,"Sewers, Hand",2.12,3.13,3.82,4.3,3.21
51-6052.00,"Tailors, Dressmakers, and Custom Sewers",2.13,3.17,3.71,3.58,4.53
51-6061.00,Textile Bleaching and Dyeing Machine Operators and Tenders,2.7,3.51,4.29,3.31,3.82
51-6062.00,"Textile Cutting Machine Setters, Operators, and Tenders",2.56,3.27,4.1,3.39,3.88
51-6063.00,"Textile Knitting and Weaving Machine Setters, Operators, and Tenders",1.87,3.48,4.2,3.5,4.06
51-6064.00,"Textile Winding, Twisting, and Drawing Out Machine Setters, Operators, and Tenders",2.58,3.36,4.17,4.11,3.27
51-6091.00,"Extruding and Forming Machine Setters, Operators, and Tenders, Synthetic and Glass Fibers",3.11,3.31,3.61,3.01,3.88
51-6092.00,Fabric and Apparel Patternmakers,2.21,3.24,1.66,3.64,4.07
51-6093.00,Upholsterers,1.2,2.21,2.3,4.14,3.86
51-7011.00,Cabinetmakers and Bench Carpenters,2.13,2.67,2.31,3.48,4.11
51-7021.00,Furniture Finishers,1.36,2.08,2.07,3.63,3.82
51-7031.00,"Model Makers, Wood",1.87,3.3,2.78,2.61,4.16
51-7032.00,"Patternmakers, Wood",2.19,3.71,3.1,2.92,4.14
51-7041.00,"Sawing Machine Setters, Operators, and Tenders, Wood",2.52,2.85,4.21,3.85,4.18
51-7042.00,"Woodworking Machine Setters, Operators, and Tenders, Except Sawing",2.13,3.68,3.17,4.34,3.96
51-8011.00,Nuclear Power Reactor Operators,3.04,4.09,2.14,2.44,4.28
51-8012.00,Power Distributors and Dispatchers,2.78,4.35,2.16,3.3,3.94
51-8013.00,Power Plant Operators,2.96,3.56,2.85,2.96,3.6
51-8013.03,Biomass Plant Technicians,3.29,4.33,3.59,2.84,3.46
51-8013.04,Hydroelectric Plant Technicians,2.16,2.92,2.49,2.54,3.23
51-8021.00,Stationary Engineers and Boiler Operators,2.73,3.94,3.11,2.71,3.74
51-8031.00,Water and Wastewater Treatment Plant and System Operators,3.04,3.71,2.79,2.5,4.0
51-8091.00,Chemical Plant and System Operators,3.64,4.04,4.41,2.99,4.11
51-8092.00,Gas Plant Operators,3.24,3.86,3.13,2.77,3.6
51-8093.00,"Petroleum Pump System Operators, Refinery Operators, and Gaugers",3.31,3.79,3.48,2.94,3.75
51-8099.01,Biofuels Processing Technicians,3.57,3.89,4.3,2.82,3.93
51-9011.00,Chemical Equipment Operators and Tenders,2.88,3.86,4.15,3.06,4.02
51-9012.00,"Separating, Filtering, Clarifying, Precipitating, and Still Machine Setters, Operators, and Tenders",3.5,2.99,3.33,2.89,2.95
51-9021.00,"Crushing, Grinding, and Polishing Machine Setters, Operators, and Tenders",2.67,3.28,4.03,3.18,3.72
51-9022.00,"Grinding and Polishing Workers, Hand",2.18,3.57,3.04,3.86,4.05
51-9023.00,"Mixing and Blending Machine Setters, Operators, and Tenders",2.53,4.24,4.09,3.78,4.68
51-9031.00,"Cutters and Trimmers, Hand",2.22,2.6,2.7,4.04,3.75
51-9032.00,"Cutting and Slicing Machine Setters, Operators, and Tenders",2.92,3.84,3.97,4.07,3.93
51-9041.00,"Extruding, Forming, Pressing, and Compacting Machine Setters, Operators, and Tenders",3.23,3.66,4.34,3.32,3.92
51-9051.00,"Furnace, Kiln, Oven, Drier, and Kettle Operators and Tenders",2.82,3.37,3.55,3.51,2.84
51-9061.00,"Inspectors, Testers, Sorters, Samplers, and Weighers",2.15,3.63,3.13,3.17,3.72
51-9071.00,Jewelers and Precious Stone and Metal Workers,1.5,3.53,1.3,3.2,4.64
51-9071.06,Gem and Diamond Workers,2.57,4.51,1.4,3.8,3.7
51-9081.00,Dental Laboratory Technicians,1.97,3.75,2.69,4.09,4.81
51-9082.00,Medical Appliance Technicians,1.78,3.21,2.04,3.51,4.39
51-9083.00,Ophthalmic Laboratory Technicians,3.18,4.14,3.9,4.18,4.58
51-9111.00,Packaging and Filling Machine Operators and Tenders,2.56,3.97,4.6,4.11,4.44
51-9123.00,"Painting, Coating, and Decorating Workers",2.19,2.43,2.31,3.83,2.86
51-9124.00,"Coating, Painting, and Spraying Machine Setters, Operators, and Tenders",1.82,2.73,3.42,4.61,4.23
51-9141.00,Semiconductor Processing Technicians,2.83,3.79,3.49,3.14,3.86
51-9151.00,Photographic Process Workers and Processing Machine Operators,3.22,3.25,1.77,3.22,4.01
51-9161.00,Computer Numerically Controlled Tool Operators,3.26,4.01,3.94,3.33,4.41
51-9162.00,Computer Numerically Controlled Tool Programmers,2.79,3.97,3.81,2.92,4.2
51-9191.00,Adhesive Bonding Machine Operators and Tenders,2.84,3.65,4.0,3.73,4.11
51-9192.00,"Cleaning, Washing, and Metal Pickling Equipment Operators and Tenders",2.44,3.07,3.61,3.44,4.09
51-9193.00,Cooling and Freezing Equipment Operators and Tenders,2.98,3.74,3.87,2.4,4.06
51-9194.00,Etchers and Engravers,2.28,3.35,2.69,3.01,4.25
51-9195.00,"Molders, Shapers, and Casters, Except Metal and Plastic",2.73,3.49,3.77,4.28,4.11
51-9195.03,"Stone Cutters and Carvers, Manufacturing",2.33,3.32,3.43,4.34,4.23
51-9195.04,"Glass Blowers, Molders, Benders, and Finishers",2.42,3.01,3.51,3.8,3.37
51-9195.05,"Potters, Manufacturing",1.81,3.86,1.09,3.98,3.0
51-9196.00,"Paper Goods Machine Setters, Operators, and Tenders",2.36,3.43,4.11,3.62,4.27
51-9197.00,Tire Builders,2.09,3.75,3.67,4.66,4.15
51-9198.00,Helpers--Production Workers,2.62,3.21,3.87,4.06,4.09
53-1041.00,Aircraft Cargo Handling Supervisors,2.56,3.88,2.75,3.14,4.69
53-1042.00,"First-Line Supervisors of Helpers, Laborers, and Material Movers, Hand",2.71,3.54,2.72,2.82,4.52
53-1042.01,Recycling Coordinators,2.23,3.25,2.09,2.27,3.69
53-1043.00,First-Line Supervisors of Material-Moving Machine and Vehicle Operators,2.4,3.62,3.45,2.35,3.97
53-2011.00,"Airline Pilots, Copilots, and Flight Engineers",3.58,3.97,3.4,3.01,4.54
53-2012.00,Commercial Pilots,2.06,3.67,1.98,2.68,3.77
53-2021.00,Air Traffic Controllers,3.58,4.67,2.28,3.52,3.41
53-2022.00,Airfield Operations Specialists,2.61,4.45,2.13,2.87,4.1
53-2031.00,Flight Attendants,2.3,3.8,2.43,3.34,4.46
53-3011.00,"Ambulance Drivers and Attendants, Except Emergency Medical Technicians",2.24,3.86,1.59,2.98,3.78
53-3031.00,Driver/Sales Workers,2.13,4.41,2.25,4.24,4.92
53-3032.00,Heavy and Tractor-Trailer Truck Drivers,1.79,3.54,2.93,3.65,4.24
53-3033.00,Light Truck Drivers,2.67,3.43,2.4,2.76,4.19
53-3051.00,"Bus Drivers, School",1.67,2.51,2.62,3.85,3.77
53-3052.00,"Bus Drivers, Transit and Intercity",2.27,3.06,2.73,3.89,3.84
53-3053.00,Shuttle Drivers and Chauffeurs,1.48,3.26,2.42,3.33,4.13
53-4011.00,Locomotive Engineers,1.75,3.61,2.81,3.92,4.38
53-4013.00,"Rail Yard Engineers, Dinkey Operators, and Hostlers",1.88,3.27,2.02,3.85,3.48
53-4022.00,"Railroad Brake, Signal, and Switch Operators and Locomotive Firers",1.8,3.66,2.73,3.92,4.15
53-4031.00,Railroad Conductors and Yardmasters,2.21,3.68,2.87,3.0,3.41
53-4041.00,Subway and Streetcar Operators,2.06,4.0,3.73,4.39,3.82
53-5011.00,Sailors and Marine Oilers,1.52,3.42,3.03,3.64,4.0
53-5021.00,"Captains, Mates, and Pilots of Water Vessels",1.8,3.57,2.82,3.09,3.98
53-5022.00,Motorboat Operators,2.19,3.61,2.45,2.63,4.13
53-5031.00,Ship Engineers,2.28,3.86,2.55,2.87,3.81
53-6011.00,Bridge and Lock Tenders,2.89,3.53,2.26,2.6,3.1
53-6021.00,Parking Attendants,2.59,3.17,2.23,3.79,2.99
53-6031.00,Automotive and Watercraft Service Attendants,1.68,2.68,2.15,3.79,4.6
53-6041.00,Traffic Technicians,2.57,3.82,2.08,3.13,4.23
53-6051.00,Transportation Inspectors,2.17,3.43,1.71,2.1,3.78
53-6051.01,Aviation Inspectors,2.57,4.35,1.54,3.17,4.11
53-6051.07,"Transportation Vehicle, Equipment and Systems Inspectors, Except Aviation",1.77,3.27,2.93,3.08,4.24
53-6061.00,Passenger Attendants,2.06,2.42,1.37,2.72,2.92
53-7011.00,Conveyor Operators and Tenders,2.62,3.0,4.58,2.97,4.05
53-7021.00,Crane and Tower Operators,2.13,2.96,3.77,3.61,3.8
53-7031.00,Dredge Operators,3.0,2.41,2.35,3.8,3.01
53-7041.00,Hoist and Winch Operators,2.58,3.37,4.32,4.56,4.75
53-7051.00,Industrial Truck and Tractor Operators,1.98,2.97,3.64,4.2,4.49
53-7061.00,Cleaners of Vehicles and Equipment,1.65,3.12,1.95,4.43,4.2
53-7062.00,"Laborers and Freight, Stock, and Material Movers, Hand",2.05,4.06,3.29,3.91,3.74
53-7062.04,Recycling and Reclamation Workers,2.07,2.63,3.12,4.02,3.5
53-7063.00,Machine Feeders and Offbearers,2.89,3.18,4.11,3.68,3.71
53-7064.00,"Packers and Packagers, Hand",2.12,3.87,3.04,3.88,4.22
53-7065.00,Stockers and Order Fillers,1.98,3.68,1.47,3.46,3.44
53-7071.00,Gas Compressor and Gas Pumping Station Operators,2.77,3.74,3.61,2.49,3.76
53-7072.00,"Pump Operators, Except Wellhead Pumpers",2.11,4.0,2.64,3.7,3.31
53-7073.00,Wellhead Pumpers,2.0,3.55,2.35,2.71,3.52
53-7081.00,Refuse and Recyclable Material Collectors,2.33,3.41,2.78,4.32,3.74
53-7121.00,"Tank Car, Truck, and Ship Loaders",1.87,4.45,3.56,3.8,4.47
